Name,SpielMinuten,Einsatz
"Marwin Hitz",200,2
"Pavao Pervan",811,9
"Kevin Trapp",3149,33
"Thomas Kraft",339,4
"Ralf Fährmann",1596,17
"Christian Mathenia",2067,22
"Sven Ulreich",809,9
"Manuel Neuer",2438,26
"Ron-Robert Zieler",3240,34
"Yann Sommer",3252,34
"Florian Müller",2300,24
"Roman Bürki",3090,32
"Jirí Pavlenka",3188,34
"Péter Gulácsi",3097,33
"Oliver Baumann",3186,33
"Michael Rensing",3068,32
"Alexander Schwolow",3188,33
"Andreas Luthe",1408,15
"Dayot Upamecano",NULL,NULL
"Aarón Martín",NULL,NULL
Paulinho,NULL,NULL
"Leonardo Balerdi",NULL,NULL
"Tyler Adams",NULL,NULL
"Ignacio Camacho",NULL,NULL
"Panagiotis Retsos",NULL,NULL
"Santiago Ascacíbar",NULL,NULL
"Jiri Pavlenka",NULL,NULL
"Marcelo Saracchi",NULL,NULL
"Pierre Kunde Malong",NULL,NULL
"Rabbi Matondo",NULL,NULL
"Dennis Geiger",NULL,NULL
"Lukas Hradecky",NULL,NULL
"Benjamin Hübner",NULL,NULL
"Kasim Adams",NULL,NULL
"Almamy Touré",NULL,NULL
"Kevin Akpoguma",NULL,NULL
"Lucas Torró",NULL,NULL
"Jetro Willems",NULL,NULL
"Ömer Toprak",NULL,NULL
"Michaël Cuisance",NULL,NULL
"Pablo Maffeo",NULL,NULL
"Timothy Chandler",NULL,NULL
"Hamza Mendyl",NULL,NULL
"Simon Falette",NULL,NULL
"Philipp Lienhart",NULL,NULL
"Emile Smith Rowe",NULL,NULL
"Borna Sosa",NULL,NULL
"Reece Oxford",NULL,NULL
"Vladimir Darida",NULL,NULL
