Name,Position,Value
"Abdou Diallo",Innenverteidiger,35
"Mats Hummels",Innenverteidiger,35
"Paco Alcácer",Mittelstürmer,37
"Andrej Kramaric",Mittelstürmer,38
"Thorgan Hazard",Linksaußen,38
"Sébastien Haller",Mittelstürmer,40
"Ante Rebic","Hängende Spitze",40
"Leon Bailey",Linksaußen,40
"Jonathan Tah",Innenverteidiger,40
"Manuel Akanji",Innenverteidiger,40
"Corentin Tolisso","Zentrales Mittelfeld",40
"Ibrahima Konaté",Innenverteidiger,45
"Marco Reus","Offensives Mittelfeld",50
"Leon Goretzka","Zentrales Mittelfeld",50
"Julian Brandt",Linksaußen,50
"James Rodríguez","Offensives Mittelfeld",50
"Kingsley Coman",Linksaußen,50
"David Alaba","Linker Verteidiger",55
"Luka Jovic",Mittelstürmer,60
"Serge Gnabry",Rechtsaußen,60
"Christian Pulisic",Rechtsaußen,60
"Niklas Süle",Innenverteidiger,60
"Robert Lewandowski",Mittelstürmer,65
"Timo Werner",Mittelstürmer,65
"Joshua Kimmich","Rechter Verteidiger",70
Thiago,"Zentrales Mittelfeld",70
"Kai Havertz","Offensives Mittelfeld",90
"Jadon Sancho",Rechtsaußen,100
