Name,Verein,Position,Einsatz,Alter,Vorlagen,Elfmetertor,Tore
Philipp Max,FC Augsburg,Linker Verteidiger,30.0,25,4,0.0,4.0
Mikael Ishak,1.FC Nürnberg,Mittelstürmer,29.0,26,4,0.0,4.0
Christian Pulisic,Borussia Dortmund,Rechtsaußen,20.0,20,4,0.0,4.0
Martin Harnik,SV Werder Bremen,Mittelstürmer,18.0,31,4,0.0,4.0
Hanno Behrens,1.FC Nürnberg,Zentrales Mittelfeld,30.0,29,3,2.0,4.0
Ihlas Bebou,Hannover 96,Rechtsaußen,12.0,25,3,1.0,4.0
Johannes Eggestein,SV Werder Bremen,Rechtsaußen,23.0,21,2,0.0,4.0
Axel Witsel,Borussia Dortmund,Defensives Mittelfeld,33.0,30,1,0.0,4.0
Denis Zakaria,Borussia Mönchengladbach,Defensives Mittelfeld,31.0,22,1,0.0,4.0
Rani Khedira,FC Augsburg,Defensives Mittelfeld,30.0,25,1,0.0,4.0
Kaan Ayhan,Fortuna Düsseldorf,Innenverteidiger,28.0,24,1,0.0,4.0
Florian Niederlechner,SC Freiburg,Mittelstürmer,24.0,28,1,0.0,4.0
Guido Burgstaller,FC Schalke 04,Mittelstürmer,24.0,30,1,0.0,4.0
Dong-won Ji,FC Augsburg,Mittelstürmer,14.0,27,1,0.0,4.0
Lucas Höler,SC Freiburg,Mittelstürmer,26.0,24,0,0.0,4.0
Willi Orban,RasenBallsport Leipzig,Innenverteidiger,24.0,26,0,0.0,4.0
Anthony Ujah,1.FSV Mainz 05,Mittelstürmer,22.0,28,0,0.0,4.0
Arjen Robben,FC Bayern München,Rechtsaußen,12.0,35,0,0.0,4.0
Dawid Kownacki,Fortuna Düsseldorf,Mittelstürmer,10.0,22,0,0.0,4.0
Florian Neuhaus,Borussia Mönchengladbach,Zentrales Mittelfeld,32.0,22,9,0.0,3.0
Davie Selke,Hertha BSC,Mittelstürmer,30.0,24,9,0.0,3.0
Valentino Lazaro,Hertha BSC,Rechtes Mittelfeld,31.0,23,7,0.0,3.0
Jonathan Schmid,FC Augsburg,Rechter Verteidiger,28.0,28,7,0.0,3.0
Thomas Delaney,Borussia Dortmund,Zentrales Mittelfeld,30.0,27,6,0.0,3.0
Jonathan de Guzmán,Eintracht Frankfurt,Zentrales Mittelfeld,28.0,31,6,0.0,3.0
