Name,Value
Matthias Zimmermann,5.0
Renato Steffen,5.0
Kevin Stöger,5.0
Jonathan Schmid,5.0
Jetro Willems,5.0
Ömer Toprak,5.0
Alessandro Schöpf,5.0
Michaël Cuisance,5.0
Yuya Osako,5.0
Ralf Fährmann,5.0
Stefan Ilsanker,4.5
Pablo Maffeo,4.5
Patrick Herrmann,4.5
Ron-Robert Zieler,4.5
Sven Ulreich,4.5
Lukas Mühl,4.5
Roland Sallai,4.5
Joshua Brenet,4.5
Ahmed Kutucu,4.5
Michael Lang,4.5
Jadon Sancho,100.0
Kai Havertz,90.0
Thiago,70.0
Joshua Kimmich,70.0
Timo Werner,65.0
Marcel Tisserand,4.5
Josh Sargent,4.0
Franck Ribéry,4.0
Arjen Robben,4.0
Kevin Wimmer,4.0
Manuel Gulde,4.0
Bastian Oczipka,4.0
Dominik Kohr,4.0
Timothy Chandler,4.0
Hamza Mendyl,4.0
Ermin Bicakcic,4.0
Simon Falette,4.0
Anastasios Donis,4.0
Philipp Lienhart,4.0
Niko Gießelmann,4.0
Emile Smith Rowe,4.0
Mikael Ishak,4.0
Nicolas Höfler,4.0
Borna Sosa,4.0
Kevin Möhwald,4.0
Reece Oxford,4.0
Vladimir Darida,4.0
Danny Latza,4.0
Daniel Didavi,4.0
Pascal Stenzel,4.0
Jadon Sancho,100.0
Kai Havertz,90.0
Thiago,70.0
Joshua Kimmich,70.0
Timo Werner,65.0
