Name Verein Position Einsatz Spielminuten "Shot On Target"
"Denis Zakaria" "B. Mönchengladbach" "Defensives Mittelfeld" 31 2088 14
"Jacob Bruun Larsen" "Borussia Dortmund" "Linke Außenbahn" 24 1350 9
"Florian Neuhaus" "B. Mönchengladbach" "Zentrales Mittelfeld" 32 2164 13
"David Alaba" "FC Bayern München" Linksverteidiger 31 2688 16
"Adam Zrelák" "1. FC Nürnberg" Stürmer 14 1019 6
"Pascal Stenzel" "SC Freiburg" Rechtsverteidiger 21 1542 9
"Jean-Paul Boëtius" "1. FSV Mainz 05" "Linke Außenbahn" 30 2257 13
"Javier Martínez" "FC Bayern München" "Defensives Mittelfeld" 21 1393 8
"Filip Kostic" "Eintracht Frankfurt" "Linke Außenbahn" 34 3158 18
"Sebastian Kerk" "1. FC Nürnberg" "Linke Außenbahn" 21 1246 7
"Alfredo Morales" "Fortuna Düsseldorf" "Zentrales Mittelfeld" 23 1653 9
"Renato Steffen" "VfL Wolfsburg" "Rechte Außenbahn" 31 1592 8
"Javairo Dilrosun" "Hertha BSC" "Linke Außenbahn" 17 997 5
"Jérôme Gondorf" "SC Freiburg" "Zentrales Mittelfeld" 25 1404 7
"Jonas Hofmann" "B. Mönchengladbach" "Zentrales Mittelfeld" 27 2019 10
"Virgil Misidjan" "1. FC Nürnberg" "Rechte Außenbahn" 23 1624 8
"Suat Serdar" "FC Schalke 04" "Zentrales Mittelfeld" 26 1831 9
"Nicolás González" "VfB Stuttgart" Stürmer 30 2288 11
"Weston McKennie" "FC Schalke 04" "Zentrales Mittelfeld" 24 1872 9
"Philipp Max" "FC Augsburg" Linksverteidiger 30 2732 13
"Daniel Caligiuri" "FC Schalke 04" Rechtsverteidiger 31 2948 14
"Willi Orban" "RB Leipzig" Innenverteidiger 24 2167 10
"Ja-cheol Koo" "FC Augsburg" "Offensives Mittelfeld" 26 1744 8
"Pavel Kaderábek" "TSG 1899 Hoffenheim" Rechtsverteidiger 29 2689 12
"Kevin Danso" "FC Augsburg" Innenverteidiger 18 1346 6
"Kevin Stöger" "Fortuna Düsseldorf" "Offensives Mittelfeld" 25 2255 10
"Mike Frantz" "SC Freiburg" "Zentrales Mittelfeld" 31 2302 10
"Amine Harit" "FC Schalke 04" "Offensives Mittelfeld" 18 1152 5
"Theodor Gebre Selassie" "SV Werder Bremen" Rechtsverteidiger 32 3018 13
"Maximilian Eggestein" "SV Werder Bremen" "Zentrales Mittelfeld" 34 3267 14
"Yuya Osako" "SV Werder Bremen" Stürmer 21 1435 6
"Jonathan de Guzmán" "Eintracht Frankfurt" "Zentrales Mittelfeld" 28 1678 7
"Thomas Delaney" "Borussia Dortmund" "Zentrales Mittelfeld" 30 2427 10
"Marcel Halstenberg" "RB Leipzig" Linksverteidiger 28 2556 10
"Florian Grillitsch" "TSG 1899 Hoffenheim" "Zentrales Mittelfeld" 30 2571 10
"Jérôme Roussillon" "VfL Wolfsburg" Linksverteidiger 28 2617 10
"Dominik Kohr" "Bayer 04 Leverkusen" "Zentrales Mittelfeld" 18 1065 4
"Jonathan Schmid" "FC Augsburg" "Rechte Außenbahn" 28 2687 10
"Danny Latza" "1. FSV Mainz 05" "Defensives Mittelfeld" 24 1929 7
"Maximilian Mittelstädt" "Hertha BSC" Linksverteidiger 25 1929 7
"Nabil Bentaleb" "FC Schalke 04" "Defensives Mittelfeld" 25 1935 7
"Axel Witsel" "Borussia Dortmund" "Defensives Mittelfeld" 33 3093 11
"Lars Bender" "Bayer 04 Leverkusen" Rechtsverteidiger 20 1428 5
"Ozan Kabak" "VfB Stuttgart" Innenverteidiger 15 1431 5
"Kaan Ayhan" "Fortuna Düsseldorf" Innenverteidiger 28 2603 9
"Pierre Kunde" "1. FSV Mainz 05" "Zentrales Mittelfeld" 29 2028 7
"Patrick Herrmann" "B. Mönchengladbach" "Rechte Außenbahn" 24 1184 4
"Daniel Baier" "FC Augsburg" "Defensives Mittelfeld" 33 2980 10
"Davy Klaassen" "SV Werder Bremen" "Zentrales Mittelfeld" 33 2985 10
"Elvis Rexhbecaj" "VfL Wolfsburg" "Defensives Mittelfeld" 24 1225 4
"Hanno Behrens" "1. FC Nürnberg" "Zentrales Mittelfeld" 30 2795 9
"Matthias Ginter" "B. Mönchengladbach" Innenverteidiger 27 2522 8
Thiago "FC Bayern München" "Zentrales Mittelfeld" 30 2544 8
"Marvin Bakalorz" "Hannover 96" "Zentrales Mittelfeld" 25 1590 5
"Mitchell Weiser" "Bayer 04 Leverkusen" Rechtsverteidiger 30 2256 7
"Genki Haraguchi" "Hannover 96" "Linke Außenbahn" 28 2285 7
"Yannick Gerhardt" "VfL Wolfsburg" "Zentrales Mittelfeld" 30 2612 8
"Ridle Baku" "1. FSV Mainz 05" "Zentrales Mittelfeld" 15 997 3
"Josuha Guilavogui" "VfL Wolfsburg" "Defensives Mittelfeld" 19 1666 5
"Nico Schulz" "TSG 1899 Hoffenheim" Linksverteidiger 30 2711 8
"Christian Gentner" "VfB Stuttgart" "Zentrales Mittelfeld" 29 2122 6
Walace "Hannover 96" "Defensives Mittelfeld" 26 2138 6
"Lukas Klostermann" "RB Leipzig" Rechtsverteidiger 26 2141 6
"Joshua Kimmich" "FC Bayern München" Rechtsverteidiger 34 3247 9
