Name,Verein,Position,Einsatz,SpielMinuten,PassCompleted,TotalPass
Lars Stindl,B. Mönchengladbach,Stürmer,21.0,1585.0,623.0,758.0
Florian Neuhaus,B. Mönchengladbach,Zentrales Mittelfeld,32.0,2164.0,734.0,894.0
Denis Zakaria,B. Mönchengladbach,Defensives Mittelfeld,31.0,2088.0,628.0,765.0
Manuel Gulde,SC Freiburg,Innenverteidiger,21.0,1840.0,719.0,876.0
Robin Koch,SC Freiburg,Innenverteidiger,24.0,2048.0,727.0,889.0
Timo Baumgartl,VfB Stuttgart,Innenverteidiger,18.0,1709.0,703.0,860.0
Rani Khedira,FC Augsburg,Defensives Mittelfeld,30.0,2800.0,1023.0,1252.0
Dominique Heintz,SC Freiburg,Innenverteidiger,34.0,3266.0,1358.0,1662.0
Philipp Bargfrede,SV Werder Bremen,Defensives Mittelfeld,15.0,1128.0,454.0,556.0
Georg Margreitter,1. FC Nürnberg,Innenverteidiger,27.0,2206.0,990.0,1214.0
Federico Palacios,1. FC Nürnberg,Stürmer,17.0,1022.0,243.0,298.0
Ridle Baku,1. FSV Mainz 05,Zentrales Mittelfeld,15.0,997.0,366.0,449.0
Serge Gnabry,FC Bayern München,Linke Außenbahn,30.0,1887.0,689.0,846.0
Josuha Guilavogui,VfL Wolfsburg,Defensives Mittelfeld,19.0,1666.0,654.0,804.0
Jonas Hofmann,B. Mönchengladbach,Zentrales Mittelfeld,27.0,2019.0,906.0,1114.0
Marko Grujic,Hertha BSC,Zentrales Mittelfeld,22.0,1907.0,776.0,956.0
Franck Ribéry,FC Bayern München,Linke Außenbahn,25.0,1308.0,602.0,742.0
Lukasz Piszczek,Borussia Dortmund,Rechtsverteidiger,20.0,1876.0,1079.0,1330.0
Theodor Gebre Selassie,SV Werder Bremen,Rechtsverteidiger,32.0,3018.0,1352.0,1669.0
Marc-Oliver Kempf,VfB Stuttgart,Innenverteidiger,23.0,2148.0,835.0,1032.0
Pascal Stenzel,SC Freiburg,Rechtsverteidiger,21.0,1542.0,726.0,898.0
Kevin Wimmer,Hannover 96,Innenverteidiger,22.0,1820.0,844.0,1046.0
Michael Lang,B. Mönchengladbach,Rechtsverteidiger,17.0,1319.0,646.0,801.0
Dominik Kohr,Bayer 04 Leverkusen,Zentrales Mittelfeld,18.0,1065.0,407.0,506.0
Santiago Ascacibar,VfB Stuttgart,Defensives Mittelfeld,27.0,2574.0,885.0,1102.0
Ja-cheol Koo,FC Augsburg,Offensives Mittelfeld,26.0,1744.0,505.0,629.0
Kevin Möhwald,SV Werder Bremen,Zentrales Mittelfeld,23.0,984.0,406.0,506.0
Marco Reus,Borussia Dortmund,Offensives Mittelfeld,27.0,2463.0,847.0,1057.0
Jadon Sancho,Borussia Dortmund,Linke Außenbahn,34.0,2644.0,1148.0,1433.0
Pierre Kunde,1. FSV Mainz 05,Zentrales Mittelfeld,29.0,2028.0,939.0,1173.0
Mario Götze,Borussia Dortmund,Offensives Mittelfeld,26.0,1781.0,720.0,900.0
