Name,Verein,Position,Einsatz,SpielMinuten,AbgefangeneBaelle,AbgewehrteElfmeter,GesamteElfmeter,AbgewehrteBaelle,ShotOnTarget,Balleroberungen,BallVerluste,Fouls,Clean Sheet,SuccessfulDribblings,TotalDribblings,ErrorGegentor),FlankenGeblockt,GesamteFlanken,GeklaerteBaelle,GrosschancenKreiert
Kevin Wimmer,Hannover 96,Innenverteidiger,22.0,1820.0,43.0,,,,,17.0,,20.0,,,,,,,58.0,
Thomas Delaney,Borussia Dortmund,Zentrales Mittelfeld,30.0,2427.0,57.0,,,,,54.0,21.0,45.0,,10.0,17.0,,,,43.0,3.0
Maximilian Mittelstädt,Hertha BSC,Linksverteidiger,25.0,1929.0,45.0,,,,,37.0,41.0,14.0,,23.0,39.0,,,,51.0,
Nuri Sahin,SV Werder Bremen,Defensives Mittelfeld,20.0,1545.0,36.0,,,,,33.0,16.0,28.0,,8.0,12.0,,,,39.0,
Stefan Bell,1. FSV Mainz 05,Innenverteidiger,25.0,2396.0,55.0,,,,,20.0,14.0,41.0,,15.0,19.0,1.0,,,123.0,
Theodor Gebre Selassie,SV Werder Bremen,Rechtsverteidiger,32.0,3018.0,68.0,,,,,38.0,38.0,33.0,,14.0,31.0,,,,87.0,2.0
Ibrahima Konaté,RB Leipzig,Innenverteidiger,28.0,2581.0,58.0,,,,,32.0,14.0,37.0,,22.0,26.0,,,,121.0,
Lukasz Piszczek,Borussia Dortmund,Rechtsverteidiger,20.0,1876.0,42.0,,,,,36.0,24.0,16.0,,8.0,25.0,,,,59.0,3.0
Matthias Zimmermann,Fortuna Düsseldorf,Rechtsverteidiger,34.0,3243.0,71.0,,,,,63.0,29.0,49.0,,19.0,35.0,2.0,,,79.0,5.0
Marc-Oliver Kempf,VfB Stuttgart,Innenverteidiger,23.0,2148.0,47.0,,,,,18.0,,24.0,,,,1.0,,,131.0,
Walace,Hannover 96,Defensives Mittelfeld,26.0,2138.0,46.0,,,,,22.0,53.0,31.0,,23.0,44.0,1.0,,,36.0,
Omar Mascarell,FC Schalke 04,Defensives Mittelfeld,14.0,1073.0,23.0,,,,,10.0,10.0,13.0,,,,,,,,
Gelson Fernandes,Eintracht Frankfurt,Defensives Mittelfeld,28.0,2348.0,50.0,,,,,48.0,20.0,56.0,,5.0,11.0,,,,16.0,
Waldemar Anton,Hannover 96,Innenverteidiger,34.0,3278.0,69.0,,,,,31.0,27.0,25.0,,17.0,30.0,2.0,,,164.0,
Javier Martínez,FC Bayern München,Defensives Mittelfeld,21.0,1393.0,29.0,,,,,16.0,,12.0,,5.0,9.0,,,,12.0,
Julian Korb,Hannover 96,Rechtsverteidiger,12.0,1070.0,22.0,,,,,18.0,12.0,15.0,,4.0,13.0,1.0,,,30.0,
Daniel Baier,FC Augsburg,Defensives Mittelfeld,33.0,2980.0,61.0,,,,,40.0,38.0,51.0,,14.0,26.0,2.0,,,48.0,
Mats Hummels,FC Bayern München,Innenverteidiger,21.0,1873.0,36.0,,,,,17.0,,10.0,,9.0,11.0,1.0,,,48.0,2.0
Per Skjelbred,Hertha BSC,Defensives Mittelfeld,16.0,1059.0,20.0,,,,,17.0,12.0,15.0,,8.0,9.0,,,,13.0,
Benjamin Pavard,VfB Stuttgart,Innenverteidiger,29.0,2759.0,52.0,,,,,20.0,10.0,19.0,,7.0,13.0,2.0,,,185.0,
Stefan Ilsanker,RB Leipzig,Defensives Mittelfeld,19.0,1010.0,19.0,,,,,16.0,,20.0,,,,1.0,,,41.0,
Weston McKennie,FC Schalke 04,Zentrales Mittelfeld,24.0,1872.0,35.0,,,,,14.0,38.0,33.0,,16.0,31.0,1.0,,,43.0,3.0
Nordi Mukiele,RB Leipzig,Rechtsverteidiger,19.0,1300.0,24.0,,,,,21.0,26.0,19.0,,19.0,32.0,,,,34.0,3.0
Dan-Axel Zagadou,Borussia Dortmund,Innenverteidiger,17.0,1361.0,25.0,,,,,10.0,,13.0,,12.0,12.0,2.0,,,69.0,
Pirmin Schwegler,Hannover 96,Defensives Mittelfeld,27.0,2182.0,40.0,,,,,37.0,23.0,45.0,,13.0,21.0,,,,54.0,
Tin Jedvaj,Bayer 04 Leverkusen,Innenverteidiger,16.0,1208.0,22.0,,,,,15.0,15.0,13.0,,7.0,14.0,,,,50.0,
