Name,Verein,Position,Einsatz,SpielMinuten,AbgefangeneBaelle,AbgewehrteElfmeter,GesamteElfmeter,AbgewehrteBaelle,ShotOnTarget,Balleroberungen,BallVerluste,Fouls,Clean Sheet,SuccessfulDribblings,TotalDribblings,ErrorGegentor),FlankenGeblockt,GesamteFlanken,GeklaerteBaelle,GrosschancenKreiert
Jean Zimmer,Fortuna Düsseldorf,Rechtsverteidiger,18.0,1505.0,13.0,,,,,10.0,35.0,10.0,,7.0,29.0,1.0,,,25.0,3.0
Marco Richter,FC Augsburg,Stürmer,25.0,1510.0,13.0,,,,,8.0,84.0,22.0,,33.0,75.0,1.0,,,,6.0
Dennis Aogo,VfB Stuttgart,Linksverteidiger,15.0,1069.0,9.0,,,,,9.0,,9.0,,,,,,,17.0,2.0
Benito Raman,Fortuna Düsseldorf,Rechte Außenbahn,30.0,1792.0,15.0,,,,,20.0,83.0,26.0,,37.0,94.0,,,,,4.0
Alessandro Schöpf,FC Schalke 04,Offensives Mittelfeld,15.0,1093.0,9.0,,,,,17.0,37.0,28.0,,16.0,32.0,,,,,2.0
Gian-Luca Waldschmidt,SC Freiburg,Stürmer,30.0,1830.0,15.0,,,,,13.0,46.0,33.0,,20.0,41.0,1.0,,,,4.0
Philipp Max,FC Augsburg,Linksverteidiger,30.0,2732.0,22.0,,,,,25.0,24.0,12.0,,10.0,19.0,1.0,,,39.0,9.0
Ridle Baku,1. FSV Mainz 05,Zentrales Mittelfeld,15.0,997.0,8.0,,,,,8.0,22.0,9.0,,7.0,20.0,,,,,
Javairo Dilrosun,Hertha BSC,Linke Außenbahn,17.0,997.0,8.0,,,,,10.0,31.0,8.0,,9.0,26.0,,,,,4.0
Leon Bailey,Bayer 04 Leverkusen,Linke Außenbahn,29.0,2018.0,16.0,,,,,11.0,72.0,17.0,,50.0,78.0,,,,,5.0
Ihlas Bebou,Hannover 96,Rechte Außenbahn,12.0,1137.0,9.0,,,,,9.0,52.0,9.0,,35.0,66.0,,,,,2.0
Admir Mehmedi,VfL Wolfsburg,Stürmer,26.0,1786.0,14.0,,,,,30.0,49.0,28.0,,13.0,34.0,,,,,6.0
Amine Harit,FC Schalke 04,Offensives Mittelfeld,18.0,1152.0,9.0,,,,,8.0,56.0,9.0,,35.0,52.0,,,,,
Matthias Ginter,B. Mönchengladbach,Innenverteidiger,27.0,2522.0,19.0,,,,,14.0,,12.0,,,,1.0,,,97.0,
Jonas Hofmann,B. Mönchengladbach,Zentrales Mittelfeld,27.0,2019.0,15.0,,,,,20.0,46.0,20.0,,11.0,31.0,,,,13.0,4.0
Filip Kostic,Eintracht Frankfurt,Linke Außenbahn,34.0,3158.0,23.0,,,,,42.0,83.0,26.0,,56.0,94.0,,,,36.0,15.0
Oscar Wendt,B. Mönchengladbach,Linksverteidiger,32.0,2908.0,21.0,,,,,34.0,16.0,25.0,,7.0,17.0,,,,62.0,3.0
Yuya Kubo,1. FC Nürnberg,Stürmer,22.0,1430.0,10.0,,,,,11.0,54.0,21.0,,11.0,36.0,,,,,
Nils Petersen,SC Freiburg,Stürmer,24.0,2087.0,14.0,,,,,21.0,43.0,23.0,,7.0,21.0,,,,32.0,
Jonathan de Guzmán,Eintracht Frankfurt,Zentrales Mittelfeld,28.0,1678.0,11.0,,,,,24.0,24.0,18.0,,13.0,20.0,,,,12.0,9.0
Karim Onisiwo,1. FSV Mainz 05,Rechte Außenbahn,26.0,1236.0,8.0,,,,,17.0,46.0,22.0,,15.0,41.0,,,,,6.0
Steven Zuber,VfB Stuttgart,Linke Außenbahn,22.0,1706.0,11.0,,,,,12.0,52.0,22.0,,9.0,25.0,,,,,3.0
Joelinton,TSG 1899 Hoffenheim,Stürmer,28.0,2268.0,14.0,,,,,24.0,110.0,56.0,,41.0,90.0,,,,,9.0
Franck Ribéry,FC Bayern München,Linke Außenbahn,25.0,1308.0,8.0,,,,,8.0,98.0,17.0,,37.0,89.0,,,,,3.0
Michael Gregoritsch,FC Augsburg,Offensives Mittelfeld,32.0,2633.0,16.0,,,,,12.0,50.0,27.0,,13.0,35.0,,,,58.0,2.0
Serge Gnabry,FC Bayern München,Linke Außenbahn,30.0,1887.0,11.0,,,,,19.0,104.0,25.0,,51.0,124.0,,,,,12.0
Eduard Löwen,1. FC Nürnberg,Zentrales Mittelfeld,22.0,1717.0,10.0,,,,,21.0,77.0,18.0,,29.0,70.0,,,,18.0,2.0
Jadon Sancho,Borussia Dortmund,Linke Außenbahn,34.0,2644.0,15.0,,,,,11.0,140.0,,,111.0,192.0,,,,,11.0
Julian Brandt,Bayer 04 Leverkusen,Linke Außenbahn,33.0,2823.0,16.0,,,,,17.0,101.0,13.0,,55.0,107.0,1.0,,,,13.0
Ondrej Duda,Hertha BSC,Offensives Mittelfeld,32.0,2687.0,15.0,,,,,33.0,64.0,77.0,,37.0,62.0,,,,13.0,8.0
Virgil Misidjan,1. FC Nürnberg,Rechte Außenbahn,23.0,1624.0,9.0,,,,,13.0,114.0,35.0,,42.0,112.0,,,,,
Mark Uth,FC Schalke 04,Stürmer,20.0,1507.0,8.0,,,,,11.0,39.0,26.0,,16.0,40.0,,,,11.0,2.0
Nicolás González,VfB Stuttgart,Stürmer,30.0,2288.0,12.0,,,,,13.0,75.0,28.0,,45.0,74.0,,,,25.0,5.0
Kai Havertz,Bayer 04 Leverkusen,Offensives Mittelfeld,34.0,3075.0,16.0,,,,,17.0,114.0,24.0,,44.0,88.0,,,,26.0,4.0
Sébastien Haller,Eintracht Frankfurt,Stürmer,29.0,2353.0,12.0,,,,,11.0,71.0,42.0,,24.0,48.0,,,,23.0,9.0
Yuya Osako,SV Werder Bremen,Stürmer,21.0,1435.0,7.0,,,,,11.0,49.0,20.0,,14.0,20.0,,,,,3.0
Florian Neuhaus,B. Mönchengladbach,Zentrales Mittelfeld,32.0,2164.0,10.0,,,,,15.0,65.0,26.0,,29.0,59.0,,,,21.0,5.0
Christian Günter,SC Freiburg,Linksverteidiger,32.0,3082.0,14.0,,,,,27.0,70.0,28.0,,39.0,88.0,,,,38.0,8.0
Mario Götze,Borussia Dortmund,Offensives Mittelfeld,26.0,1781.0,8.0,,,,,19.0,74.0,20.0,,27.0,60.0,1.0,,,,11.0
Ante Rebic,Eintracht Frankfurt,Stürmer,28.0,2098.0,9.0,,,,,7.0,136.0,47.0,,45.0,106.0,,,,,8.0
Thomas Müller,FC Bayern München,Rechte Außenbahn,32.0,2483.0,10.0,,,,,23.0,30.0,23.0,,22.0,35.0,,,,13.0,13.0
Dodi Lukebakio,Fortuna Düsseldorf,Rechte Außenbahn,31.0,2077.0,8.0,,,,,16.0,97.0,28.0,,49.0,99.0,,,,17.0,4.0
Andrej Kramaric,TSG 1899 Hoffenheim,Stürmer,30.0,2548.0,9.0,,,,,,74.0,7.0,,28.0,53.0,,,,12.0,7.0
Marvin Plattenhardt,Hertha BSC,Linksverteidiger,22.0,2040.0,7.0,,,,,22.0,24.0,25.0,,8.0,19.0,,,,45.0,3.0
Marco Reus,Borussia Dortmund,Offensives Mittelfeld,27.0,2463.0,8.0,,,,,24.0,76.0,34.0,,25.0,63.0,,,,31.0,11.0
Robin Quaison,1. FSV Mainz 05,Stürmer,28.0,2323.0,7.0,,,,,12.0,88.0,31.0,,22.0,52.0,,,,,
Yussuf Poulsen,RB Leipzig,Stürmer,31.0,2595.0,7.0,,,,,10.0,110.0,56.0,,24.0,69.0,,,,27.0,6.0
Max Kruse,SV Werder Bremen,Stürmer,32.0,3018.0,8.0,,,,,,66.0,23.0,,38.0,58.0,2.0,,,,8.0
Wout Weghorst,VfL Wolfsburg,Stürmer,34.0,3098.0,8.0,,,,,22.0,60.0,37.0,,14.0,27.0,,,,32.0,7.0
Kevin Volland,Bayer 04 Leverkusen,Stürmer,34.0,2983.0,7.0,,,,,19.0,89.0,40.0,,30.0,62.0,,,,31.0,10.0
Ramazan Özcan,Bayer 04 Leverkusen,Torhüter,2.0,193.0,,1.0,2.0,,,,,,,,,,,,,
Fabian Bredlow,1. FC Nürnberg,Torhüter,13.0,1194.0,,1.0,2.0,34.0,63.0,,,,2.0,,,,6.0,6.0,,
Gregor Kobel,FC Augsburg,Torhüter,17.0,1565.0,,1.0,3.0,58.0,101.0,,,,3.0,,,,5.0,5.0,,
Alexander Nübel,FC Schalke 04,Torhüter,18.0,1696.0,,1.0,4.0,58.0,87.0,,,,4.0,,,,8.0,8.0,,
Rune Jarstein,Hertha BSC,Torhüter,31.0,2924.0,,1.0,4.0,102.0,148.0,,,,8.0,,,,28.0,29.0,,
Lukás Hrádecky,Bayer 04 Leverkusen,Torhüter,32.0,3076.0,,1.0,4.0,84.0,130.0,,,,9.0,,,,17.0,17.0,,
Koen Casteels,VfL Wolfsburg,Torhüter,26.0,2462.0,,1.0,5.0,80.0,120.0,,,,8.0,,,,24.0,24.0,,
Michael Esser,Hannover 96,Torhüter,32.0,3084.0,,1.0,6.0,153.0,219.0,,,,5.0,,,,25.0,25.0,,
Luca Plogmann,SV Werder Bremen,Torhüter,1.0,47.0,,0.0,1.0,,,,,,,,,,,,,
Yvon Mvogo,RB Leipzig,Torhüter,2.0,148.0,,0.0,1.0,,,,,,,,,,,,,
Marwin Hitz,Borussia Dortmund,Torhüter,2.0,200.0,,0.0,1.0,,,,,,,,,,,,,
Pavao Pervan,VfL Wolfsburg,Torhüter,9.0,811.0,,0.0,1.0,,,,,,,,,,,,,
Kevin Trapp,Eintracht Frankfurt,Torhüter,33.0,3149.0,,0.0,1.0,119.0,166.0,,,,8.0,,,,26.0,26.0,,
Thomas Kraft,Hertha BSC,Torhüter,4.0,339.0,,0.0,2.0,,,,,,,,,,,,,
Ralf Fährmann,FC Schalke 04,Torhüter,17.0,1596.0,,0.0,2.0,58.0,83.0,,,,3.0,,,,19.0,19.0,,
Christian Mathenia,1. FC Nürnberg,Torhüter,22.0,2067.0,,0.0,2.0,83.0,121.0,,,,2.0,,,,18.0,18.0,,
Sven Ulreich,FC Bayern München,Torhüter,9.0,809.0,,0.0,3.0,,,,,,,,,,,,,
Manuel Neuer,FC Bayern München,Torhüter,26.0,2438.0,,0.0,3.0,34.0,57.0,,,,10.0,,,,10.0,10.0,,
Ron-Robert Zieler,VfB Stuttgart,Torhüter,34.0,3240.0,,0.0,3.0,116.0,182.0,,,,6.0,,,,34.0,35.0,,
Yann Sommer,B. Mönchengladbach,Torhüter,34.0,3252.0,,0.0,3.0,118.0,162.0,,,,13.0,,,,24.0,24.0,,
Florian Müller,1. FSV Mainz 05,Torhüter,24.0,2300.0,,0.0,4.0,83.0,128.0,,,,5.0,,,,8.0,8.0,,
Roman Bürki,Borussia Dortmund,Torhüter,32.0,3090.0,,0.0,4.0,88.0,129.0,,,,10.0,,,,18.0,18.0,,
Jirí Pavlenka,SV Werder Bremen,Torhüter,34.0,3188.0,,0.0,4.0,107.0,155.0,,,,5.0,,,,19.0,19.0,,
Péter Gulácsi,RB Leipzig,Torhüter,33.0,3097.0,,0.0,5.0,93.0,119.0,,,,15.0,,,,18.0,18.0,,
Oliver Baumann,TSG 1899 Hoffenheim,Torhüter,33.0,3186.0,,0.0,6.0,119.0,170.0,,,,5.0,,,,11.0,14.0,,
Michael Rensing,Fortuna Düsseldorf,Torhüter,32.0,3068.0,,0.0,7.0,111.0,173.0,,,,5.0,,,,41.0,42.0,,
Alexander Schwolow,SC Freiburg,Torhüter,33.0,3188.0,,0.0,7.0,114.0,176.0,,,,5.0,,,,20.0,20.0,,
Andreas Luthe,FC Augsburg,Torhüter,15.0,1408.0,,,,57.0,78.0,,,,2.0,,,,3.0,3.0,,
Lucas Höler,SC Freiburg,Stürmer,26.0,1083.0,,,,,,16.0,49.0,17.0,,8.0,33.0,2.0,,,14.0,
Daniel Didavi,VfB Stuttgart,Offensives Mittelfeld,20.0,1027.0,,,,,,15.0,27.0,12.0,,11.0,17.0,,,,,2.0
Anastasios Donis,VfB Stuttgart,Stürmer,24.0,1017.0,,,,,,13.0,32.0,21.0,,17.0,35.0,,,,,
Breel Embolo,FC Schalke 04,Stürmer,20.0,1411.0,,,,,,17.0,80.0,30.0,,27.0,70.0,,,,,6.0
Patrick Herrmann,B. Mönchengladbach,Rechte Außenbahn,24.0,1184.0,,,,,,14.0,21.0,16.0,,12.0,25.0,,,,11.0,5.0
Adam Zrelák,1. FC Nürnberg,Stürmer,14.0,1019.0,,,,,,10.0,12.0,19.0,,,,,,,12.0,
Milot Rashica,SV Werder Bremen,Stürmer,26.0,1631.0,,,,,,16.0,89.0,33.0,,33.0,87.0,1.0,,,,7.0
Nicolai Müller,Hannover 96,Rechte Außenbahn,21.0,1185.0,,,,,,11.0,37.0,17.0,,18.0,31.0,,,,,
Vincenzo Grifo,SC Freiburg,Linke Außenbahn,23.0,1868.0,,,,,,17.0,50.0,13.0,,34.0,56.0,,,,15.0,2.0
Kenan Karaman,Fortuna Düsseldorf,Linke Außenbahn,21.0,1007.0,,,,,,9.0,28.0,15.0,,18.0,30.0,,,,,3.0
Johannes Eggestein,SV Werder Bremen,Stürmer,23.0,1194.0,,,,,,9.0,63.0,15.0,,15.0,43.0,,,,,3.0
Ádám Szalai,TSG 1899 Hoffenheim,Stürmer,30.0,1787.0,,,,,,13.0,39.0,33.0,,10.0,26.0,,,,,
Sebastian Kerk,1. FC Nürnberg,Linke Außenbahn,21.0,1246.0,,,,,,9.0,20.0,9.0,,4.0,10.0,1.0,,,15.0,3.0
Bobby Wood,Hannover 96,Stürmer,20.0,1273.0,,,,,,9.0,73.0,18.0,,6.0,22.0,,,,,2.0
Hendrik Weydandt,Hannover 96,Stürmer,28.0,1847.0,,,,,,12.0,68.0,34.0,,11.0,42.0,,,,43.0,6.0
James,FC Bayern München,Offensives Mittelfeld,20.0,1200.0,,,,,,7.0,23.0,7.0,,16.0,26.0,,,,,7.0
Christian Pulisic,Borussia Dortmund,Rechte Außenbahn,20.0,1030.0,,,,,,6.0,91.0,9.0,,43.0,92.0,,,,,3.0
Lucas Alario,Bayer 04 Leverkusen,Stürmer,27.0,1375.0,,,,,,8.0,34.0,23.0,,5.0,16.0,,,,12.0,
Rouwen Hennings,Fortuna Düsseldorf,Stürmer,29.0,1956.0,,,,,,11.0,23.0,23.0,,4.0,14.0,,,,19.0,5.0
Guido Burgstaller,FC Schalke 04,Stürmer,24.0,1643.0,,,,,,9.0,62.0,24.0,,7.0,36.0,,,,,
Emil Forsberg,RB Leipzig,Linke Außenbahn,20.0,1305.0,,,,,,7.0,46.0,7.0,,21.0,45.0,,,,,6.0
Daniel Ginczek,VfL Wolfsburg,Stürmer,24.0,1373.0,,,,,,7.0,38.0,14.0,,13.0,26.0,1.0,,,19.0,3.0
Ishak Belfodil,TSG 1899 Hoffenheim,Stürmer,28.0,1982.0,,,,,,10.0,51.0,25.0,,37.0,56.0,,,,13.0,5.0
Mario Gomez,VfB Stuttgart,Stürmer,31.0,2344.0,,,,,,11.0,35.0,32.0,,8.0,22.0,,,,33.0,4.0
Timo Werner,RB Leipzig,Stürmer,30.0,2605.0,,,,,,12.0,100.0,24.0,,29.0,92.0,,,,,6.0
Salomon Kalou,Hertha BSC,Linke Außenbahn,30.0,2429.0,,,,,,11.0,89.0,29.0,,54.0,83.0,,,,22.0,9.0
Kingsley Coman,FC Bayern München,Linke Außenbahn,21.0,1441.0,,,,,,6.0,75.0,17.0,,58.0,97.0,,,,,7.0
Alassane Plea,B. Mönchengladbach,Stürmer,34.0,2640.0,,,,,,10.0,69.0,34.0,,23.0,48.0,2.0,,,15.0,3.0
Vedad Ibisevic,Hertha BSC,Stürmer,28.0,1878.0,,,,,,7.0,36.0,38.0,,13.0,23.0,,,,20.0,
Jean-Philippe Mateta,1. FSV Mainz 05,Stürmer,34.0,2617.0,,,,,,9.0,102.0,32.0,,35.0,74.0,,,,22.0,4.0
Mikael Ishak,1. FC Nürnberg,Stürmer,29.0,2030.0,,,,,,6.0,32.0,23.0,,11.0,21.0,,,,11.0,2.0
Robert Lewandowski,FC Bayern München,Stürmer,33.0,3129.0,,,,,,9.0,84.0,25.0,,51.0,83.0,,,,14.0,14.0
Davie Selke,Hertha BSC,Stürmer,30.0,1869.0,,,,,,,61.0,28.0,,22.0,55.0,,,,,5.0
Luka Jovic,Eintracht Frankfurt,Stürmer,32.0,2382.0,,,,,,,75.0,29.0,,26.0,56.0,,,,30.0,6.0
Florian Niederlechner,SC Freiburg,Stürmer,24.0,1006.0,,,,,,,29.0,23.0,,9.0,24.0,,,,,
Niclas Füllkrug,Hannover 96,Stürmer,14.0,1195.0,,,,,,,34.0,20.0,,5.0,21.0,,,,15.0,
Alfred Finnbogason,FC Augsburg,Stürmer,18.0,1375.0,,,,,,,37.0,34.0,,12.0,26.0,,,,,3.0
Paco Alcácer,Borussia Dortmund,Stürmer,26.0,1338.0,,,,,,,17.0,,,6.0,10.0,,,,,2.0
