Name,Verein,Position,Einsatz,Alter,Vorlagen,Elfmetertor,Tore,Nationalitaet,SpielMinuten,ShotOnTarget,AbgefangeneBaelle,AbgewehrteElfmeter,GesamteElfmeter,AbgewehrteBaelle,Balleroberungen,BallVerluste,Fouls,CleanSheet,SuccessfulDribblings,TotalDribblings,ErrorGegentor,FlankenGeblockt,GesamteFlanken,GeklaerteBaelle,GrosschancenKreiert,GrossChancenVereitelt,GesamteChancen,GewonneneLuftkaempfe,GesamteLuftkaempfe,Paraden,PassCompleted,TotalPass,TotalShots,SuccessfulTackles,TotalTackles,TorschussVorlagen,GewonneneZweikaempfe,GesamteZweikaempfe,Value
Max Kruse,SV Werder Bremen,Mittelstürmer,32.0,31.0,10.0,3.0,11.0,Deutschland,3018.0,41.0,8.0,NULL,NULL,NULL,NULL,66.0,23.0,NULL,38.0,58.0,2.0,NULL,NULL,NULL,8.0,NULL,NULL,23.0,60.0,NULL,1330.0,1786.0,91.0,5.0,46.0,73.0,109.0,265.0,12.0
Ondrej Duda,Hertha BSC,Offensives Mittelfeld,32.0,24.0,6.0,0.0,11.0,Slowakei,2687.0,20.0,15.0,NULL,NULL,NULL,33.0,64.0,77.0,NULL,37.0,62.0,NULL,NULL,NULL,13.0,8.0,NULL,NULL,31.0,83.0,NULL,951.0,1267.0,54.0,33.0,93.0,39.0,167.0,391.0,17.0
Thorgan Hazard,Borussia Mönchengladbach,Linksaußen,33.0,26.0,11.0,3.0,10.0,Belgien,3035.0,26.0,27.0,NULL,NULL,NULL,32.0,115.0,26.0,NULL,70.0,133.0,NULL,NULL,NULL,NULL,13.0,NULL,NULL,21.0,93.0,NULL,973.0,1383.0,77.0,32.0,81.0,71.0,204.0,445.0,38.0
Serge Gnabry,FC Bayern München,Rechtsaußen,30.0,23.0,7.0,0.0,10.0,Deutschland & Elfenbeinküste,1887.0,32.0,11.0,NULL,NULL,NULL,19.0,104.0,25.0,NULL,51.0,124.0,NULL,NULL,NULL,NULL,12.0,NULL,NULL,7.0,24.0,NULL,689.0,846.0,65.0,19.0,59.0,26.0,109.0,276.0,60.0
Dodi Lukebakio,Fortuna Düsseldorf,Rechtsaußen,31.0,21.0,4.0,4.0,10.0,Belgien & DR Kongo,2077.0,31.0,8.0,NULL,NULL,NULL,16.0,97.0,28.0,NULL,49.0,99.0,NULL,NULL,NULL,17.0,4.0,NULL,NULL,22.0,47.0,NULL,425.0,585.0,56.0,16.0,30.0,19.0,144.0,301.0,18.0
Benito Raman,Fortuna Düsseldorf,Linksaußen,30.0,24.0,4.0,0.0,10.0,Belgien,1792.0,26.0,15.0,NULL,NULL,NULL,20.0,83.0,26.0,NULL,37.0,94.0,NULL,NULL,NULL,NULL,4.0,NULL,NULL,5.0,20.0,NULL,307.0,459.0,55.0,20.0,78.0,21.0,94.0,262.0,12.0
Vedad Ibisevic,Hertha BSC,Mittelstürmer,28.0,34.0,3.0,1.0,10.0,Bosnien-Herzegowina & Vereinigte Staaten,1878.0,21.0,NULL,NULL,NULL,NULL,7.0,36.0,38.0,NULL,13.0,23.0,NULL,NULL,NULL,20.0,NULL,NULL,NULL,71.0,148.0,NULL,308.0,435.0,54.0,7.0,21.0,15.0,109.0,267.0,NULL
Nils Petersen,SC Freiburg,Mittelstürmer,24.0,30.0,3.0,1.0,10.0,Deutschland,2087.0,23.0,14.0,NULL,NULL,NULL,21.0,43.0,23.0,NULL,7.0,21.0,NULL,NULL,NULL,32.0,NULL,NULL,NULL,88.0,255.0,NULL,345.0,514.0,50.0,21.0,48.0,19.0,143.0,392.0,8.0
Alfred Finnbogason,FC Augsburg,Mittelstürmer,18.0,30.0,2.0,4.0,10.0,Island,1375.0,18.0,NULL,NULL,NULL,NULL,NULL,37.0,34.0,NULL,12.0,26.0,NULL,NULL,NULL,NULL,3.0,NULL,NULL,23.0,55.0,NULL,222.0,326.0,40.0,3.0,16.0,20.0,52.0,163.0,15.0
Milot Rashica,SV Werder Bremen,Linksaußen,26.0,22.0,5.0,1.0,9.0,Kosovo & Albanien,1631.0,25.0,NULL,NULL,NULL,NULL,16.0,89.0,33.0,NULL,33.0,87.0,1.0,NULL,NULL,NULL,7.0,NULL,NULL,8.0,37.0,NULL,301.0,509.0,59.0,16.0,39.0,29.0,98.0,263.0,20.0
