Name,Verein,Position,Einsatz,SpielMinuten,AbgefangeneBaelle,AbgewehrteElfmeter,GesamteElfmeter,AbgewehrteBaelle,ShotOnTarget,Balleroberungen,BallVerluste,Fouls,Clean Sheet,SuccessfulDribblings,TotalDribblings,ErrorGegentor),FlankenGeblockt,GesamteFlanken,GeklaerteBaelle,GrosschancenKreiert,GrossChancenVereitelt,GesamteChancen,GewonneneLuftkaempfe,GesamteLuftkaempfe,Alter,Vorlagen,Elfmetertor,Tore,Paraden,PassCompleted,TotalPass,TotalShots,SuccessfulTackles,TotalTackles
Ibrahima Konaté,RB Leipzig,Innenverteidiger,28.0,2581.0,58.0,,,,,32.0,14.0,37.0,,22.0,26.0,,,,121.0,,,,97.0,135.0,19.0,1.0,0.0,1.0,,789.0,1037.0,12.0,32.0,56.0
Lukasz Piszczek,Borussia Dortmund,Rechtsverteidiger,20.0,1876.0,42.0,,,,,36.0,24.0,16.0,,8.0,25.0,,,,59.0,3.0,,,59.0,90.0,33.0,6.0,0.0,1.0,,1079.0,1330.0,12.0,36.0,74.0
Matthias Zimmermann,Fortuna Düsseldorf,Rechtsverteidiger,34.0,3243.0,71.0,,,,,63.0,29.0,49.0,,19.0,35.0,2.0,,,79.0,5.0,,,33.0,69.0,26.0,3.0,0.0,1.0,,1231.0,1643.0,15.0,63.0,141.0
Marc-Oliver Kempf,VfB Stuttgart,Innenverteidiger,23.0,2148.0,47.0,,,,,18.0,,24.0,,,,1.0,,,131.0,,,,107.0,172.0,,,,,,835.0,1032.0,14.0,18.0,45.0
Walace,Hannover 96,Defensives Mittelfeld,26.0,2138.0,46.0,,,,,22.0,53.0,31.0,,23.0,44.0,1.0,,,36.0,,,,54.0,92.0,24.0,1.0,0.0,1.0,,914.0,1076.0,19.0,22.0,83.0
Omar Mascarell,FC Schalke 04,Defensives Mittelfeld,14.0,1073.0,23.0,,,,,10.0,10.0,13.0,,,,,,,,,,,12.0,23.0,,,,,,397.0,473.0,,10.0,34.0
Gelson Fernandes,Eintracht Frankfurt,Defensives Mittelfeld,28.0,2348.0,50.0,,,,,48.0,20.0,56.0,,5.0,11.0,,,,16.0,,,,34.0,82.0,32.0,0.0,0.0,1.0,,705.0,846.0,,48.0,112.0
Waldemar Anton,Hannover 96,Innenverteidiger,34.0,3278.0,69.0,,,,,31.0,27.0,25.0,,17.0,30.0,2.0,,,164.0,,,,83.0,157.0,22.0,0.0,0.0,1.0,,1443.0,1730.0,24.0,31.0,75.0
Javier Martínez,FC Bayern München,Defensives Mittelfeld,21.0,1393.0,29.0,,,,,16.0,,12.0,,5.0,9.0,,,,12.0,,,,50.0,84.0,,,,,,796.0,909.0,18.0,16.0,38.0
Julian Korb,Hannover 96,Rechtsverteidiger,12.0,1070.0,22.0,,,,,18.0,12.0,15.0,,4.0,13.0,1.0,,,30.0,,,,7.0,19.0,,,,,,383.0,543.0,,18.0,44.0
Daniel Baier,FC Augsburg,Defensives Mittelfeld,33.0,2980.0,61.0,,,,,40.0,38.0,51.0,,14.0,26.0,2.0,,,48.0,,,,29.0,72.0,,,,,,1225.0,1617.0,26.0,40.0,103.0
Mats Hummels,FC Bayern München,Innenverteidiger,21.0,1873.0,36.0,,,,,17.0,,10.0,,9.0,11.0,1.0,,,48.0,2.0,,,83.0,121.0,30.0,1.0,0.0,1.0,,1559.0,1741.0,19.0,17.0,42.0
Per Skjelbred,Hertha BSC,Defensives Mittelfeld,16.0,1059.0,20.0,,,,,17.0,12.0,15.0,,8.0,9.0,,,,13.0,,,,12.0,23.0,,,,,,496.0,578.0,,17.0,43.0
Benjamin Pavard,VfB Stuttgart,Innenverteidiger,29.0,2759.0,52.0,,,,,20.0,10.0,19.0,,7.0,13.0,2.0,,,185.0,,,,80.0,138.0,,,,,,1275.0,1515.0,13.0,20.0,37.0
Stefan Ilsanker,RB Leipzig,Defensives Mittelfeld,19.0,1010.0,19.0,,,,,16.0,,20.0,,,,1.0,,,41.0,,,,34.0,54.0,,,,,,366.0,465.0,,16.0,34.0
Weston McKennie,FC Schalke 04,Zentrales Mittelfeld,24.0,1872.0,35.0,,,,,14.0,38.0,33.0,,16.0,31.0,1.0,,,43.0,3.0,,,86.0,138.0,20.0,4.0,0.0,1.0,,488.0,710.0,25.0,14.0,53.0
Nordi Mukiele,RB Leipzig,Rechtsverteidiger,19.0,1300.0,24.0,,,,,21.0,26.0,19.0,,19.0,32.0,,,,34.0,3.0,,,36.0,64.0,21.0,1.0,0.0,1.0,,517.0,717.0,8.0,21.0,39.0
Dan-Axel Zagadou,Borussia Dortmund,Innenverteidiger,17.0,1361.0,25.0,,,,,10.0,,13.0,,12.0,12.0,2.0,,,69.0,,,,48.0,69.0,19.0,0.0,0.0,2.0,,918.0,1046.0,10.0,10.0,14.0
Pirmin Schwegler,Hannover 96,Defensives Mittelfeld,27.0,2182.0,40.0,,,,,37.0,23.0,45.0,,13.0,21.0,,,,54.0,,,,34.0,59.0,,,,,,924.0,1201.0,12.0,37.0,91.0
Tin Jedvaj,Bayer 04 Leverkusen,Innenverteidiger,16.0,1208.0,22.0,,,,,15.0,15.0,13.0,,7.0,14.0,,,,50.0,,,,23.0,41.0,,,,,,564.0,714.0,9.0,15.0,31.0
Nabil Bentaleb,FC Schalke 04,Defensives Mittelfeld,25.0,1935.0,35.0,,,,,18.0,23.0,30.0,,20.0,29.0,,,,17.0,2.0,,,38.0,55.0,24.0,1.0,3.0,3.0,,729.0,945.0,21.0,18.0,49.0
Aleksandar Dragovic,Bayer 04 Leverkusen,Innenverteidiger,18.0,1443.0,26.0,,,,,11.0,,11.0,,,,,,,63.0,,,,28.0,55.0,28.0,0.0,0.0,2.0,,978.0,1087.0,,11.0,21.0
Lukas Mühl,1. FC Nürnberg,Innenverteidiger,31.0,2972.0,53.0,,,,,35.0,,25.0,,,,1.0,,,131.0,,,,46.0,93.0,22.0,0.0,0.0,1.0,,1225.0,1459.0,13.0,35.0,76.0
Andre Hoffmann,Fortuna Düsseldorf,Innenverteidiger,13.0,1131.0,20.0,,,,,14.0,,15.0,,,,,,,42.0,,,,22.0,49.0,,,,,,431.0,493.0,,14.0,38.0
Nico Elvedi,B. Mönchengladbach,Innenverteidiger,30.0,2776.0,49.0,,,,,19.0,,17.0,,9.0,11.0,6.0,,,130.0,,,,80.0,134.0,22.0,1.0,0.0,2.0,,1928.0,2081.0,14.0,19.0,52.0
Niklas Stark,Hertha BSC,Innenverteidiger,22.0,1996.0,35.0,,,,,19.0,,20.0,,,,2.0,,,133.0,,,,54.0,87.0,24.0,0.0,0.0,1.0,,869.0,1036.0,12.0,19.0,48.0
Pascal Stenzel,SC Freiburg,Rechtsverteidiger,21.0,1542.0,27.0,,,,,26.0,,21.0,,,,1.0,,,45.0,3.0,,,23.0,40.0,,,,,,726.0,898.0,25.0,26.0,60.0
Santiago Ascacibar,VfB Stuttgart,Defensives Mittelfeld,27.0,2574.0,45.0,,,,,50.0,25.0,24.0,,13.0,20.0,1.0,,,29.0,,,,28.0,67.0,,,,,,885.0,1102.0,20.0,50.0,116.0
