Name,Verein,Position,Einsatz,SpielMinuten,AbgefangeneBaelle,AbgewehrteElfmeter,GesamteElfmeter,AbgewehrteBaelle,ShotOnTarget,Balleroberungen,BallVerluste,Fouls,Clean Sheet,SuccessfulDribblings,TotalDribblings,ErrorGegentor),FlankenGeblockt,GesamteFlanken,GeklaerteBaelle,GrosschancenKreiert,GrossChancenVereitelt,GesamteChancen,GewonneneLuftkaempfe,GesamteLuftkaempfe,Alter,Vorlagen,Elfmetertor,Tore,Paraden,PassCompleted,TotalPass,TotalShots,SuccessfulTackles,TotalTackles
Kevin Danso,FC Augsburg,Innenverteidiger,18.0,1346.0,19.0,,,,,14.0,10.0,16.0,,,,,,,72.0,,,,45.0,74.0,20.0,1.0,0.0,1.0,,454.0,623.0,11.0,14.0,28.0
Niklas Moisander,SV Werder Bremen,Innenverteidiger,30.0,2835.0,40.0,,,,,23.0,13.0,34.0,,11.0,18.0,1.0,,,136.0,,,,47.0,86.0,,,,,,1672.0,1941.0,8.0,23.0,61.0
Dominique Heintz,SC Freiburg,Innenverteidiger,34.0,3266.0,46.0,,,,,23.0,17.0,30.0,,21.0,28.0,,,,210.0,,,,59.0,110.0,25.0,1.0,0.0,1.0,,1358.0,1662.0,10.0,23.0,59.0
Robin Knoche,VfL Wolfsburg,Innenverteidiger,32.0,2986.0,42.0,,,,,20.0,,13.0,,7.0,9.0,2.0,,,135.0,,,,77.0,136.0,26.0,0.0,0.0,3.0,,1752.0,2040.0,14.0,20.0,39.0
Tim Leibold,1. FC Nürnberg,Linksverteidiger,32.0,2934.0,41.0,,,,,42.0,49.0,31.0,,24.0,55.0,,,,50.0,5.0,,,34.0,60.0,,,,,,1229.0,1588.0,28.0,42.0,97.0
Diego Demme,RB Leipzig,Defensives Mittelfeld,26.0,2155.0,30.0,,,,,49.0,26.0,37.0,,9.0,18.0,,,,16.0,3.0,,,26.0,50.0,,,,,,1215.0,1524.0,10.0,49.0,109.0
Jérôme Boateng,FC Bayern München,Innenverteidiger,20.0,1798.0,25.0,,,,,15.0,,15.0,,,,,,,49.0,2.0,,,30.0,36.0,,,,,,1428.0,1609.0,14.0,15.0,32.0
Kevin Vogt,TSG 1899 Hoffenheim,Innenverteidiger,28.0,2540.0,35.0,,,,,16.0,,22.0,,,,2.0,,,99.0,,,,38.0,62.0,,,,,,1656.0,1855.0,,16.0,45.0
Ja-cheol Koo,FC Augsburg,Offensives Mittelfeld,26.0,1744.0,24.0,,,,,24.0,51.0,26.0,,14.0,25.0,,,,18.0,,,,23.0,58.0,30.0,1.0,0.0,2.0,,505.0,629.0,26.0,24.0,52.0
Christian Gentner,VfB Stuttgart,Zentrales Mittelfeld,29.0,2122.0,29.0,,,,,41.0,30.0,30.0,,10.0,23.0,1.0,,,36.0,4.0,,,36.0,68.0,,,,,,714.0,1015.0,30.0,41.0,94.0
Tobias Strobl,B. Mönchengladbach,Defensives Mittelfeld,29.0,2431.0,33.0,,,,,17.0,11.0,26.0,,,,1.0,,,32.0,4.0,,,37.0,76.0,,,,,,1339.0,1488.0,8.0,17.0,49.0
Lukas Klostermann,RB Leipzig,Rechtsverteidiger,26.0,2141.0,29.0,,,,,29.0,18.0,17.0,,7.0,17.0,,,,62.0,,,,43.0,70.0,22.0,1.0,0.0,5.0,,753.0,1019.0,13.0,29.0,66.0
Jérôme Gondorf,SC Freiburg,Zentrales Mittelfeld,25.0,1404.0,19.0,,,,,19.0,29.0,29.0,,6.0,17.0,1.0,,,21.0,6.0,,,18.0,42.0,30.0,2.0,0.0,2.0,,350.0,513.0,23.0,19.0,47.0
Martin Hinteregger,Eintracht Frankfurt,Innenverteidiger,32.0,2904.0,39.0,,,,,61.0,17.0,27.0,,7.0,14.0,,,,115.0,,,,105.0,164.0,26.0,0.0,0.0,3.0,,1078.0,1448.0,29.0,61.0,108.0
Pavel Kaderábek,TSG 1899 Hoffenheim,Rechtsverteidiger,29.0,2689.0,36.0,,,,,20.0,20.0,34.0,,8.0,16.0,1.0,,,62.0,7.0,,,52.0,83.0,,,,,,1053.0,1410.0,28.0,20.0,45.0
Arne Maier,Hertha BSC,Defensives Mittelfeld,24.0,2187.0,29.0,,,,,16.0,27.0,18.0,,22.0,36.0,,,,33.0,,,,21.0,40.0,,,,,,1027.0,1189.0,20.0,16.0,50.0
Marcel Sabitzer,RB Leipzig,Rechte Außenbahn,30.0,2492.0,33.0,,,,,28.0,55.0,27.0,,15.0,28.0,,,,29.0,8.0,,,18.0,45.0,25.0,5.0,0.0,4.0,,836.0,1218.0,64.0,28.0,73.0
Sebastian Langkamp,SV Werder Bremen,Innenverteidiger,21.0,1520.0,20.0,,,,,16.0,,11.0,,,,1.0,,,77.0,,,,41.0,73.0,,,,,,859.0,969.0,10.0,16.0,31.0
Mijat Gacinovic,Eintracht Frankfurt,Offensives Mittelfeld,29.0,1760.0,23.0,,,,,21.0,52.0,20.0,,28.0,60.0,,,,,3.0,,,11.0,40.0,,,,,,429.0,613.0,21.0,21.0,59.0
Manuel Gulde,SC Freiburg,Innenverteidiger,21.0,1840.0,24.0,,,,,17.0,,9.0,,,,,,,85.0,,,,30.0,52.0,28.0,1.0,0.0,1.0,,719.0,876.0,,17.0,29.0
Aarón,1. FSV Mainz 05,Linksverteidiger,33.0,3069.0,40.0,,,,,31.0,39.0,29.0,,45.0,61.0,1.0,,,58.0,6.0,,,23.0,59.0,,,,,,1289.0,1732.0,18.0,31.0,73.0
Niko Gießelmann,Fortuna Düsseldorf,Linksverteidiger,30.0,2764.0,36.0,,,,,37.0,23.0,26.0,,11.0,25.0,1.0,,,62.0,5.0,,,50.0,81.0,,,,,,996.0,1368.0,26.0,37.0,89.0
Michael Lang,B. Mönchengladbach,Rechtsverteidiger,17.0,1319.0,17.0,,,,,10.0,11.0,10.0,,2.0,12.0,1.0,,,37.0,,,,17.0,30.0,28.0,0.0,0.0,1.0,,646.0,801.0,11.0,10.0,24.0
Evan N'Dicka,Eintracht Frankfurt,Innenverteidiger,27.0,2483.0,32.0,,,,,27.0,19.0,27.0,,5.0,13.0,,,,113.0,,,,71.0,122.0,19.0,1.0,0.0,1.0,,882.0,1113.0,13.0,27.0,63.0
Kevin Stöger,Fortuna Düsseldorf,Offensives Mittelfeld,25.0,2255.0,29.0,,,,,34.0,42.0,47.0,,28.0,45.0,1.0,,,18.0,11.0,,,,,25.0,7.0,0.0,1.0,,1198.0,1456.0,33.0,34.0,100.0
Pierre Kunde,1. FSV Mainz 05,Zentrales Mittelfeld,29.0,2028.0,26.0,,,,,29.0,35.0,23.0,,23.0,35.0,1.0,,,47.0,,,,23.0,43.0,,,,,,939.0,1173.0,30.0,29.0,61.0
Daniel Brosinski,1. FSV Mainz 05,Rechtsverteidiger,26.0,2343.0,30.0,,,,,16.0,27.0,13.0,,6.0,22.0,,,,44.0,6.0,,,19.0,49.0,30.0,6.0,3.0,3.0,,946.0,1343.0,18.0,16.0,42.0
Mathew Leckie,Hertha BSC,Rechte Außenbahn,18.0,1017.0,13.0,,,,,13.0,37.0,18.0,,10.0,28.0,,,,13.0,,,,46.0,66.0,28.0,1.0,0.0,2.0,,237.0,351.0,22.0,13.0,29.0
Georg Margreitter,1. FC Nürnberg,Innenverteidiger,27.0,2206.0,28.0,,,,,24.0,10.0,10.0,,7.0,10.0,,,,137.0,,,,59.0,94.0,30.0,0.0,0.0,2.0,,990.0,1214.0,16.0,24.0,46.0
Stefan Posch,TSG 1899 Hoffenheim,Innenverteidiger,17.0,1499.0,19.0,,,,,30.0,,31.0,,,,,,,54.0,,,,40.0,69.0,,,,,,880.0,1001.0,,30.0,53.0
Charles Aránguiz,Bayer 04 Leverkusen,Zentrales Mittelfeld,24.0,1994.0,25.0,,,,,29.0,35.0,27.0,,9.0,17.0,1.0,,,25.0,4.0,,,12.0,23.0,30.0,7.0,0.0,2.0,,1455.0,1652.0,23.0,29.0,93.0
Bastian Oczipka,FC Schalke 04,Linksverteidiger,21.0,2015.0,25.0,,,,,27.0,51.0,16.0,,23.0,53.0,2.0,,,21.0,6.0,,,11.0,23.0,30.0,5.0,0.0,1.0,,808.0,1076.0,13.0,27.0,45.0
Andreas Beck,VfB Stuttgart,Rechtsverteidiger,24.0,1872.0,23.0,,,,,20.0,13.0,24.0,,9.0,12.0,,,,48.0,3.0,,,25.0,50.0,,,,,,602.0,854.0,12.0,20.0,53.0
Manuel Akanji,Borussia Dortmund,Innenverteidiger,25.0,2371.0,29.0,,,,,20.0,11.0,13.0,,8.0,12.0,2.0,,,87.0,,,,45.0,82.0,23.0,0.0,0.0,1.0,,1722.0,1852.0,,20.0,41.0
Hanno Behrens,1. FC Nürnberg,Zentrales Mittelfeld,30.0,2795.0,34.0,,,,,27.0,23.0,39.0,,8.0,16.0,,,,46.0,2.0,,,96.0,230.0,29.0,3.0,2.0,4.0,,617.0,912.0,39.0,27.0,71.0
Leon Goretzka,FC Bayern München,Zentrales Mittelfeld,30.0,2158.0,26.0,,,,,22.0,25.0,28.0,,14.0,23.0,1.0,,,14.0,2.0,,,37.0,87.0,24.0,5.0,0.0,8.0,,1023.0,1175.0,56.0,22.0,64.0
Suat Serdar,FC Schalke 04,Zentrales Mittelfeld,26.0,1831.0,22.0,,,,,34.0,61.0,39.0,,38.0,63.0,1.0,,,,2.0,,,21.0,42.0,22.0,1.0,0.0,2.0,,316.0,441.0,30.0,34.0,88.0
Mitchell Weiser,Bayer 04 Leverkusen,Rechtsverteidiger,30.0,2256.0,27.0,,,,,37.0,64.0,32.0,,27.0,61.0,,,,39.0,4.0,,,21.0,66.0,25.0,4.0,0.0,1.0,,1267.0,1596.0,13.0,37.0,87.0
David Alaba,FC Bayern München,Linksverteidiger,31.0,2688.0,32.0,,,,,20.0,31.0,12.0,,28.0,39.0,,,,30.0,6.0,,,24.0,43.0,26.0,3.0,0.0,3.0,,1766.0,2140.0,47.0,20.0,40.0
Jérôme Roussillon,VfL Wolfsburg,Linksverteidiger,28.0,2617.0,31.0,,,,,29.0,80.0,20.0,,48.0,91.0,,,,37.0,4.0,,,23.0,51.0,26.0,6.0,0.0,3.0,,1020.0,1361.0,20.0,29.0,54.0
Maximilian Arnold,VfL Wolfsburg,Zentrales Mittelfeld,33.0,3047.0,36.0,,,,,29.0,35.0,45.0,,24.0,30.0,1.0,,,44.0,7.0,,,26.0,69.0,24.0,7.0,0.0,2.0,,1110.0,1465.0,54.0,29.0,86.0
André Hahn,FC Augsburg,Rechte Außenbahn,28.0,2207.0,26.0,,,,,38.0,59.0,67.0,,18.0,49.0,,,,28.0,3.0,,,56.0,121.0,28.0,5.0,0.0,4.0,,301.0,559.0,37.0,38.0,92.0
Raphaël Guerreiro,Borussia Dortmund,Linksverteidiger,23.0,1633.0,19.0,,,,,12.0,45.0,10.0,,31.0,53.0,1.0,,,,8.0,,,6.0,26.0,25.0,6.0,0.0,2.0,,956.0,1161.0,35.0,12.0,36.0
Oliver Fink,Fortuna Düsseldorf,Zentrales Mittelfeld,18.0,1118.0,13.0,,,,,23.0,32.0,25.0,,9.0,19.0,,,,19.0,,,,69.0,147.0,36.0,0.0,0.0,3.0,,232.0,397.0,12.0,23.0,63.0
Wendell,Bayer 04 Leverkusen,Linksverteidiger,28.0,2426.0,28.0,,,,,48.0,14.0,36.0,,7.0,16.0,,,,57.0,3.0,,,41.0,82.0,25.0,2.0,1.0,2.0,,1616.0,1918.0,11.0,48.0,98.0
Denis Zakaria,B. Mönchengladbach,Defensives Mittelfeld,31.0,2088.0,24.0,,,,,21.0,54.0,31.0,,30.0,62.0,,,,18.0,,,,15.0,35.0,22.0,1.0,0.0,4.0,,628.0,765.0,36.0,21.0,59.0
Joshua Kimmich,FC Bayern München,Rechtsverteidiger,34.0,3247.0,37.0,,,,,27.0,54.0,27.0,,38.0,67.0,2.0,,,33.0,20.0,,,24.0,46.0,24.0,14.0,0.0,2.0,,2580.0,3012.0,25.0,27.0,74.0
Leonardo Bittencourt,TSG 1899 Hoffenheim,Linke Außenbahn,21.0,1146.0,13.0,,,,,26.0,30.0,17.0,,9.0,25.0,,,,,2.0,,,5.0,19.0,25.0,3.0,0.0,1.0,,354.0,472.0,23.0,26.0,63.0
Kerem Demirbay,TSG 1899 Hoffenheim,Zentrales Mittelfeld,26.0,2132.0,24.0,,,,,36.0,75.0,46.0,,57.0,80.0,,,,21.0,14.0,,,15.0,38.0,25.0,9.0,0.0,4.0,,1096.0,1417.0,58.0,36.0,95.0
Ludwig Augustinsson,SV Werder Bremen,Linksverteidiger,34.0,3237.0,36.0,,,,,31.0,34.0,41.0,,11.0,31.0,2.0,,,72.0,3.0,,,63.0,130.0,25.0,5.0,0.0,1.0,,1546.0,1967.0,22.0,31.0,67.0
Yannick Gerhardt,VfL Wolfsburg,Zentrales Mittelfeld,30.0,2612.0,29.0,,,,,35.0,55.0,28.0,,10.0,30.0,,,,31.0,5.0,,,22.0,64.0,25.0,6.0,0.0,2.0,,770.0,1020.0,36.0,35.0,80.0
Jean-Philippe Gbamin,1. FSV Mainz 05,Defensives Mittelfeld,31.0,2840.0,31.0,,,,,33.0,88.0,38.0,,34.0,72.0,,,,32.0,2.0,,,53.0,89.0,23.0,1.0,0.0,2.0,,1082.0,1366.0,35.0,33.0,83.0
Danny Latza,1. FSV Mainz 05,Defensives Mittelfeld,24.0,1929.0,21.0,,,,,23.0,43.0,25.0,,15.0,34.0,,,,27.0,,,,32.0,63.0,,,,,,823.0,1031.0,39.0,23.0,83.0
Julian Weigl,Borussia Dortmund,Defensives Mittelfeld,18.0,1567.0,17.0,,,,,19.0,,14.0,,,,2.0,,,53.0,,,,17.0,32.0,23.0,0.0,0.0,1.0,,1123.0,1208.0,,19.0,48.0
Elvis Rexhbecaj,VfL Wolfsburg,Defensives Mittelfeld,24.0,1225.0,13.0,,,,,16.0,29.0,12.0,,9.0,18.0,,,,16.0,2.0,,,19.0,41.0,21.0,2.0,0.0,2.0,,289.0,416.0,10.0,16.0,37.0
Abdou Diallo,Borussia Dortmund,Innenverteidiger,28.0,2554.0,27.0,,,,,21.0,34.0,21.0,,40.0,58.0,1.0,,,85.0,,,,51.0,90.0,23.0,1.0,0.0,1.0,,1731.0,1957.0,10.0,21.0,41.0
Fabian Johnson,B. Mönchengladbach,Linke Außenbahn,18.0,1082.0,11.0,,,,,,13.0,,,,,,,,13.0,,,,7.0,24.0,31.0,1.0,0.0,1.0,,446.0,559.0,,5.0,14.0
Renato Steffen,VfL Wolfsburg,Rechte Außenbahn,31.0,1592.0,16.0,,,,,16.0,28.0,19.0,,20.0,31.0,,,,13.0,3.0,,,19.0,46.0,27.0,1.0,0.0,5.0,,431.0,577.0,27.0,16.0,34.0
Matheus Pereira,1. FC Nürnberg,Rechte Außenbahn,19.0,1311.0,13.0,,,,,12.0,37.0,28.0,,40.0,56.0,,,,,,,,5.0,23.0,22.0,2.0,0.0,3.0,,343.0,479.0,29.0,12.0,26.0
Josip Brekalo,VfL Wolfsburg,Linke Außenbahn,25.0,1515.0,15.0,,,,,6.0,63.0,16.0,,32.0,70.0,1.0,,,,,,,7.0,21.0,20.0,3.0,0.0,3.0,,424.0,623.0,26.0,6.0,28.0
Maximilian Eggestein,SV Werder Bremen,Zentrales Mittelfeld,34.0,3267.0,32.0,,,,,44.0,57.0,37.0,,16.0,40.0,,,,63.0,6.0,,,40.0,91.0,22.0,5.0,0.0,5.0,,1273.0,1603.0,45.0,44.0,96.0
Federico Palacios,1. FC Nürnberg,Stürmer,17.0,1022.0,10.0,,,,,10.0,34.0,9.0,,10.0,22.0,,,,,,,,9.0,24.0,24.0,0.0,0.0,2.0,,243.0,298.0,,10.0,29.0
Karim Bellarabi,Bayer 04 Leverkusen,Rechte Außenbahn,19.0,1131.0,11.0,,,,,7.0,52.0,17.0,,19.0,43.0,,,,,6.0,,,,,28.0,5.0,0.0,5.0,,335.0,492.0,43.0,7.0,28.0
Jacob Bruun Larsen,Borussia Dortmund,Linke Außenbahn,24.0,1350.0,13.0,,,,,8.0,46.0,,,15.0,41.0,,,,12.0,4.0,,,14.0,31.0,20.0,2.0,0.0,2.0,,412.0,534.0,26.0,8.0,24.0
Sebastian Rudy,FC Schalke 04,Defensives Mittelfeld,21.0,1455.0,14.0,,,,,27.0,18.0,28.0,,5.0,12.0,,,,13.0,2.0,,,,,,,,,,528.0,665.0,,27.0,76.0
Linton Maina,Hannover 96,Linke Außenbahn,20.0,1460.0,14.0,,,,,17.0,45.0,9.0,,19.0,47.0,,,,,4.0,,,2.0,20.0,19.0,3.0,0.0,1.0,,371.0,501.0,21.0,17.0,41.0
Enrico Valentini,1. FC Nürnberg,Rechtsverteidiger,15.0,1373.0,13.0,,,,,26.0,20.0,11.0,,9.0,19.0,,,,49.0,,,,22.0,34.0,,,,,,499.0,770.0,8.0,26.0,62.0
Danny da Costa,Eintracht Frankfurt,Rechtsverteidiger,34.0,3253.0,30.0,,,,,36.0,77.0,33.0,,29.0,83.0,,,,55.0,9.0,,,50.0,100.0,25.0,4.0,0.0,2.0,,847.0,1339.0,20.0,36.0,86.0
Nico Schulz,TSG 1899 Hoffenheim,Linksverteidiger,30.0,2711.0,25.0,,,,,20.0,86.0,30.0,,51.0,115.0,,,,29.0,13.0,,,9.0,27.0,26.0,6.0,0.0,1.0,,1166.0,1555.0,30.0,20.0,54.0
Alexander Esswein,VfB Stuttgart,Rechte Außenbahn,17.0,1303.0,12.0,,,,,11.0,33.0,18.0,,9.0,25.0,,,,13.0,,,,15.0,43.0,,,,,,295.0,452.0,29.0,11.0,32.0
Genki Haraguchi,Hannover 96,Linke Außenbahn,28.0,2285.0,21.0,,,,,28.0,68.0,33.0,,45.0,85.0,,,,23.0,4.0,,,26.0,57.0,,,,,,657.0,861.0,32.0,28.0,95.0
Miiko Albornoz,Hannover 96,Linksverteidiger,22.0,1779.0,16.0,,,,,26.0,39.0,34.0,,8.0,29.0,1.0,,,31.0,3.0,,,8.0,31.0,28.0,3.0,0.0,1.0,,716.0,958.0,11.0,26.0,71.0
Thorgan Hazard,B. Mönchengladbach,Rechte Außenbahn,33.0,3035.0,27.0,,,,,32.0,115.0,26.0,,70.0,133.0,,,,,13.0,,,21.0,93.0,26.0,11.0,3.0,10.0,,973.0,1383.0,77.0,32.0,81.0
Lars Stindl,B. Mönchengladbach,Stürmer,21.0,1585.0,14.0,,,,,13.0,28.0,19.0,,15.0,28.0,,,,12.0,5.0,,,20.0,41.0,30.0,3.0,0.0,3.0,,623.0,758.0,34.0,13.0,32.0
Mike Frantz,SC Freiburg,Zentrales Mittelfeld,31.0,2302.0,20.0,,,,,25.0,26.0,20.0,,7.0,17.0,,,,29.0,3.0,,,47.0,94.0,32.0,2.0,0.0,2.0,,502.0,670.0,19.0,25.0,48.0
Jean Zimmer,Fortuna Düsseldorf,Rechtsverteidiger,18.0,1505.0,13.0,,,,,10.0,35.0,10.0,,7.0,29.0,1.0,,,25.0,3.0,,,,,25.0,2.0,0.0,1.0,,416.0,601.0,9.0,10.0,25.0
Marco Richter,FC Augsburg,Stürmer,25.0,1510.0,13.0,,,,,8.0,84.0,22.0,,33.0,75.0,1.0,,,,6.0,,,20.0,64.0,21.0,6.0,0.0,4.0,,316.0,474.0,55.0,8.0,23.0
Dennis Aogo,VfB Stuttgart,Linksverteidiger,15.0,1069.0,9.0,,,,,9.0,,9.0,,,,,,,17.0,2.0,,,,,,,,,,473.0,575.0,10.0,9.0,23.0
Benito Raman,Fortuna Düsseldorf,Rechte Außenbahn,30.0,1792.0,15.0,,,,,20.0,83.0,26.0,,37.0,94.0,,,,,4.0,,,5.0,20.0,24.0,4.0,0.0,10.0,,307.0,459.0,55.0,20.0,78.0
Alessandro Schöpf,FC Schalke 04,Offensives Mittelfeld,15.0,1093.0,9.0,,,,,17.0,37.0,28.0,,16.0,32.0,,,,,2.0,,,,,24.0,1.0,0.0,1.0,,380.0,476.0,18.0,17.0,42.0
Gian-Luca Waldschmidt,SC Freiburg,Stürmer,30.0,1830.0,15.0,,,,,13.0,46.0,33.0,,20.0,41.0,1.0,,,,4.0,,,12.0,43.0,,,,,,476.0,609.0,64.0,13.0,37.0
Philipp Max,FC Augsburg,Linksverteidiger,30.0,2732.0,22.0,,,,,25.0,24.0,12.0,,10.0,19.0,1.0,,,39.0,9.0,,,24.0,62.0,25.0,4.0,0.0,4.0,,841.0,1244.0,24.0,25.0,52.0
Ridle Baku,1. FSV Mainz 05,Zentrales Mittelfeld,15.0,997.0,8.0,,,,,8.0,22.0,9.0,,7.0,20.0,,,,,,,,9.0,18.0,,,,,,366.0,449.0,11.0,8.0,22.0
Javairo Dilrosun,Hertha BSC,Linke Außenbahn,17.0,997.0,8.0,,,,,10.0,31.0,8.0,,9.0,26.0,,,,,4.0,,,3.0,20.0,,,,,,179.0,246.0,11.0,10.0,18.0
Leon Bailey,Bayer 04 Leverkusen,Linke Außenbahn,29.0,2018.0,16.0,,,,,11.0,72.0,17.0,,50.0,78.0,,,,,5.0,,,13.0,27.0,21.0,2.0,0.0,5.0,,621.0,948.0,56.0,11.0,29.0
Ihlas Bebou,Hannover 96,Rechte Außenbahn,12.0,1137.0,9.0,,,,,9.0,52.0,9.0,,35.0,66.0,,,,,2.0,,,20.0,48.0,25.0,3.0,1.0,4.0,,292.0,438.0,27.0,9.0,18.0
Admir Mehmedi,VfL Wolfsburg,Stürmer,26.0,1786.0,14.0,,,,,30.0,49.0,28.0,,13.0,34.0,,,,,6.0,,,24.0,64.0,28.0,7.0,0.0,6.0,,563.0,783.0,36.0,30.0,73.0
Amine Harit,FC Schalke 04,Offensives Mittelfeld,18.0,1152.0,9.0,,,,,8.0,56.0,9.0,,35.0,52.0,,,,,,,,7.0,23.0,21.0,2.0,0.0,1.0,,345.0,434.0,12.0,8.0,30.0
Matthias Ginter,B. Mönchengladbach,Innenverteidiger,27.0,2522.0,19.0,,,,,14.0,,12.0,,,,1.0,,,97.0,,,,67.0,111.0,25.0,0.0,0.0,2.0,,1535.0,1781.0,23.0,14.0,33.0
Jonas Hofmann,B. Mönchengladbach,Zentrales Mittelfeld,27.0,2019.0,15.0,,,,,20.0,46.0,20.0,,11.0,31.0,,,,13.0,4.0,,,7.0,38.0,26.0,5.0,1.0,5.0,,906.0,1114.0,36.0,20.0,64.0
Filip Kostic,Eintracht Frankfurt,Linke Außenbahn,34.0,3158.0,23.0,,,,,42.0,83.0,26.0,,56.0,94.0,,,,36.0,15.0,,,43.0,86.0,26.0,11.0,0.0,6.0,,943.0,1581.0,62.0,42.0,103.0
Oscar Wendt,B. Mönchengladbach,Linksverteidiger,32.0,2908.0,21.0,,,,,34.0,16.0,25.0,,7.0,17.0,,,,62.0,3.0,,,25.0,60.0,33.0,1.0,0.0,1.0,,1475.0,1856.0,8.0,34.0,67.0
Yuya Kubo,1. FC Nürnberg,Stürmer,22.0,1430.0,10.0,,,,,11.0,54.0,21.0,,11.0,36.0,,,,,,,,9.0,32.0,25.0,0.0,0.0,1.0,,290.0,411.0,29.0,11.0,42.0
Nils Petersen,SC Freiburg,Stürmer,24.0,2087.0,14.0,,,,,21.0,43.0,23.0,,7.0,21.0,,,,32.0,,,,88.0,255.0,30.0,3.0,1.0,10.0,,345.0,514.0,50.0,21.0,48.0
Jonathan de Guzmán,Eintracht Frankfurt,Zentrales Mittelfeld,28.0,1678.0,11.0,,,,,24.0,24.0,18.0,,13.0,20.0,,,,12.0,9.0,,,24.0,42.0,31.0,6.0,0.0,3.0,,688.0,944.0,22.0,24.0,49.0
Karim Onisiwo,1. FSV Mainz 05,Rechte Außenbahn,26.0,1236.0,8.0,,,,,17.0,46.0,22.0,,15.0,41.0,,,,,6.0,,,42.0,80.0,27.0,3.0,0.0,7.0,,151.0,252.0,39.0,17.0,29.0
Steven Zuber,VfB Stuttgart,Linke Außenbahn,22.0,1706.0,11.0,,,,,12.0,52.0,22.0,,9.0,25.0,,,,,3.0,,,16.0,42.0,27.0,2.0,1.0,5.0,,521.0,711.0,48.0,12.0,36.0
Joelinton,TSG 1899 Hoffenheim,Stürmer,28.0,2268.0,14.0,,,,,24.0,110.0,56.0,,41.0,90.0,,,,,9.0,,,61.0,153.0,22.0,7.0,0.0,7.0,,560.0,707.0,56.0,24.0,57.0
Franck Ribéry,FC Bayern München,Linke Außenbahn,25.0,1308.0,8.0,,,,,8.0,98.0,17.0,,37.0,89.0,,,,,3.0,,,,,36.0,4.0,0.0,6.0,,602.0,742.0,26.0,8.0,20.0
Michael Gregoritsch,FC Augsburg,Offensives Mittelfeld,32.0,2633.0,16.0,,,,,12.0,50.0,27.0,,13.0,35.0,,,,58.0,2.0,,,89.0,178.0,25.0,2.0,1.0,6.0,,655.0,924.0,85.0,12.0,42.0
Serge Gnabry,FC Bayern München,Linke Außenbahn,30.0,1887.0,11.0,,,,,19.0,104.0,25.0,,51.0,124.0,,,,,12.0,,,7.0,24.0,23.0,7.0,0.0,10.0,,689.0,846.0,65.0,19.0,59.0
Eduard Löwen,1. FC Nürnberg,Zentrales Mittelfeld,22.0,1717.0,10.0,,,,,21.0,77.0,18.0,,29.0,70.0,,,,18.0,2.0,,,17.0,48.0,22.0,3.0,0.0,3.0,,539.0,726.0,37.0,21.0,52.0
Jadon Sancho,Borussia Dortmund,Linke Außenbahn,34.0,2644.0,15.0,,,,,11.0,140.0,,,111.0,192.0,,,,,11.0,,,1.0,19.0,19.0,17.0,0.0,12.0,,1148.0,1433.0,40.0,11.0,40.0
Julian Brandt,Bayer 04 Leverkusen,Linke Außenbahn,33.0,2823.0,16.0,,,,,17.0,101.0,13.0,,55.0,107.0,1.0,,,,13.0,,,27.0,63.0,23.0,14.0,0.0,7.0,,1437.0,1868.0,65.0,17.0,61.0
Ondrej Duda,Hertha BSC,Offensives Mittelfeld,32.0,2687.0,15.0,,,,,33.0,64.0,77.0,,37.0,62.0,,,,13.0,8.0,,,31.0,83.0,24.0,6.0,0.0,11.0,,951.0,1267.0,54.0,33.0,93.0
Virgil Misidjan,1. FC Nürnberg,Rechte Außenbahn,23.0,1624.0,9.0,,,,,13.0,114.0,35.0,,42.0,112.0,,,,,,,,17.0,42.0,25.0,2.0,0.0,1.0,,270.0,396.0,23.0,13.0,43.0
Mark Uth,FC Schalke 04,Stürmer,20.0,1507.0,8.0,,,,,11.0,39.0,26.0,,16.0,40.0,,,,11.0,2.0,,,14.0,51.0,27.0,2.0,0.0,2.0,,275.0,383.0,39.0,11.0,39.0
Nicolás González,VfB Stuttgart,Stürmer,30.0,2288.0,12.0,,,,,13.0,75.0,28.0,,45.0,74.0,,,,25.0,5.0,,,113.0,208.0,,,,,,370.0,618.0,58.0,13.0,27.0
Kai Havertz,Bayer 04 Leverkusen,Offensives Mittelfeld,34.0,3075.0,16.0,,,,,17.0,114.0,24.0,,44.0,88.0,,,,26.0,4.0,,,55.0,117.0,19.0,4.0,3.0,17.0,,1571.0,1821.0,87.0,17.0,50.0
Sébastien Haller,Eintracht Frankfurt,Stürmer,29.0,2353.0,12.0,,,,,11.0,71.0,42.0,,24.0,48.0,,,,23.0,9.0,,,195.0,332.0,24.0,9.0,3.0,15.0,,501.0,793.0,54.0,11.0,36.0
Yuya Osako,SV Werder Bremen,Stürmer,21.0,1435.0,7.0,,,,,11.0,49.0,20.0,,14.0,20.0,,,,,3.0,,,28.0,53.0,29.0,3.0,0.0,3.0,,360.0,505.0,27.0,11.0,38.0
Florian Neuhaus,B. Mönchengladbach,Zentrales Mittelfeld,32.0,2164.0,10.0,,,,,15.0,65.0,26.0,,29.0,59.0,,,,21.0,5.0,,,7.0,27.0,22.0,9.0,0.0,3.0,,734.0,894.0,51.0,15.0,45.0
