Name,Verein,Position,Einsatz,SpielMinuten,Balleroberungen
Lukasz Piszczek,Borussia Dortmund,Rechtsverteidiger,20.0,1876.0,13.0
Marvin Plattenhardt,Hertha BSC,Linksverteidiger,22.0,2040.0,14.0
Danny da Costa,Eintracht Frankfurt,Rechtsverteidiger,34.0,3253.0,22.0
Pavel Kaderábek,TSG 1899 Hoffenheim,Rechtsverteidiger,29.0,2689.0,18.0
Jean Zimmer,Fortuna Düsseldorf,Rechtsverteidiger,18.0,1505.0,10.0
William,VfL Wolfsburg,Rechtsverteidiger,31.0,2864.0,19.0
Theodor Gebre Selassie,SV Werder Bremen,Rechtsverteidiger,32.0,3018.0,20.0
Tobias Strobl,B. Mönchengladbach,Defensives Mittelfeld,29.0,2431.0,16.0
D. Upamecano,RB Leipzig,Innenverteidiger,15.0,1369.0,9.0
Kerem Demirbay,TSG 1899 Hoffenheim,Zentrales Mittelfeld,26.0,2132.0,14.0
Julian Korb,Hannover 96,Rechtsverteidiger,12.0,1070.0,7.0
Jordan Torunarigha,Hertha BSC,Innenverteidiger,14.0,1233.0,8.0
Nico Elvedi,B. Mönchengladbach,Innenverteidiger,30.0,2776.0,18.0
Daniel Caligiuri,FC Schalke 04,Rechtsverteidiger,31.0,2948.0,19.0
Andreas Beck,VfB Stuttgart,Rechtsverteidiger,24.0,1872.0,12.0
Weston McKennie,FC Schalke 04,Zentrales Mittelfeld,24.0,1872.0,12.0
Filip Kostic,Eintracht Frankfurt,Linke Außenbahn,34.0,3158.0,20.0
Michael Lang,B. Mönchengladbach,Rechtsverteidiger,17.0,1319.0,8.0
Santiago Ascacibar,VfB Stuttgart,Defensives Mittelfeld,27.0,2574.0,15.0
Hanno Behrens,1. FC Nürnberg,Zentrales Mittelfeld,30.0,2795.0,16.0
John Anthony Brooks,VfL Wolfsburg,Innenverteidiger,29.0,2798.0,16.0
Elvis Rexhbecaj,VfL Wolfsburg,Defensives Mittelfeld,24.0,1225.0,7.0
Genki Haraguchi,Hannover 96,Linke Außenbahn,28.0,2285.0,13.0
Karim Onisiwo,1. FSV Mainz 05,Rechte Außenbahn,26.0,1236.0,7.0
Fabian Johnson,B. Mönchengladbach,Linke Außenbahn,18.0,1082.0,6.0
Stefan Bell,1. FSV Mainz 05,Innenverteidiger,25.0,2396.0,13.0
Emiliano Insúa,VfB Stuttgart,Linksverteidiger,27.0,2219.0,12.0
Josuha Guilavogui,VfL Wolfsburg,Defensives Mittelfeld,19.0,1666.0,9.0
Achraf Hakimi,Borussia Dortmund,Rechtsverteidiger,21.0,1871.0,10.0
Denis Zakaria,B. Mönchengladbach,Defensives Mittelfeld,31.0,2088.0,11.0
Nabil Bentaleb,FC Schalke 04,Defensives Mittelfeld,25.0,1935.0,10.0
Kevin Vogt,TSG 1899 Hoffenheim,Innenverteidiger,28.0,2540.0,13.0
Miiko Albornoz,Hannover 96,Linksverteidiger,22.0,1779.0,9.0
Arne Maier,Hertha BSC,Defensives Mittelfeld,24.0,2187.0,11.0
Niclas Füllkrug,Hannover 96,Stürmer,14.0,1195.0,6.0
Jérôme Gondorf,SC Freiburg,Zentrales Mittelfeld,25.0,1404.0,7.0
Tin Jedvaj,Bayer 04 Leverkusen,Innenverteidiger,16.0,1208.0,6.0
Niklas Süle,FC Bayern München,Innenverteidiger,31.0,2831.0,14.0
Joshua Kimmich,FC Bayern München,Rechtsverteidiger,34.0,3247.0,16.0
Maximilian Arnold,VfL Wolfsburg,Zentrales Mittelfeld,33.0,3047.0,15.0
