Name Verein Position Einsatz SpielMinuten "Successful Tackles" "Total Tackles"
"Maximilian Eggestein" "SV Werder Bremen" "Zentrales Mittelfeld" 34 3267 44 96
"Robert Bauer" "1. FC Nürnberg" Rechtsverteidiger 22 1816 31 68
"Daniel Didavi" "VfB Stuttgart" "Offensives Mittelfeld" 20 1027 15 33
"Dominik Kohr" "Bayer 04 Leverkusen" "Zentrales Mittelfeld" 18 1065 28 62
"Patrick Herrmann" "B. Mönchengladbach" "Rechte Außenbahn" 24 1184 14 31
"Kenan Karaman" "Fortuna Düsseldorf" "Linke Außenbahn" 21 1007 9 20
"Diego Demme" "RB Leipzig" "Defensives Mittelfeld" 26 2155 49 109
"Adam Bodzek" "Fortuna Düsseldorf" "Defensives Mittelfeld" 21 1678 31 69
"Mathew Leckie" "Hertha BSC" "Rechte Außenbahn" 18 1017 13 29
"Matthias Zimmermann" "Fortuna Düsseldorf" Rechtsverteidiger 34 3243 63 141
"Pavel Kaderábek" "TSG 1899 Hoffenheim" Rechtsverteidiger 29 2689 20 45
"Robin Quaison" "1. FSV Mainz 05" Stürmer 28 2323 12 27
"Christian Günter" "SC Freiburg" Linksverteidiger 32 3082 27 61
"Ozan Kabak" "VfB Stuttgart" Innenverteidiger 15 1431 19 43
"Rouwen Hennings" "Fortuna Düsseldorf" Stürmer 29 1956 11 25
"Oliver Sorg" "Hannover 96" Rechtsverteidiger 19 1679 29 66
"Lukas Klostermann" "RB Leipzig" Rechtsverteidiger 26 2141 29 66
"Yannick Gerhardt" "VfL Wolfsburg" "Zentrales Mittelfeld" 30 2612 35 80
"Nils Petersen" "SC Freiburg" Stürmer 24 2087 21 48
"Christian Gentner" "VfB Stuttgart" "Zentrales Mittelfeld" 29 2122 41 94
"Pascal Stenzel" "SC Freiburg" Rechtsverteidiger 21 1542 26 60
"Tim Leibold" "1. FC Nürnberg" Linksverteidiger 32 2934 42 97
"Elvis Rexhbecaj" "VfL Wolfsburg" "Defensives Mittelfeld" 24 1225 16 37
"Janik Haberer" "SC Freiburg" "Offensives Mittelfeld" 27 2497 47 109
"Santiago Ascacibar" "VfB Stuttgart" "Defensives Mittelfeld" 27 2574 50 116
"Benjamin Stambouli" "FC Schalke 04" Innenverteidiger 21 1902 31 72
"Maximilian Mittelstädt" "Hertha BSC" Linksverteidiger 25 1929 37 86
"Gelson Fernandes" "Eintracht Frankfurt" "Defensives Mittelfeld" 28 2348 48 112
"Evan N'Dicka" "Eintracht Frankfurt" Innenverteidiger 27 2483 27 63
"Marco Reus" "Borussia Dortmund" "Offensives Mittelfeld" 27 2463 24 56
"Robert Lewandowski" "FC Bayern München" Stürmer 33 3129 9 21
"Christian Pulisic" "Borussia Dortmund" "Rechte Außenbahn" 20 1030 6 14
"Mitchell Weiser" "Bayer 04 Leverkusen" Rechtsverteidiger 30 2256 37 87
Aarón "1. FSV Mainz 05" Linksverteidiger 33 3069 31 73
"Matthias Ginter" "B. Mönchengladbach" Innenverteidiger 27 2522 14 33
"Valentino Lazaro" "Hertha BSC" "Rechte Außenbahn" 31 2918 33 78
"Jean-Paul Boëtius" "1. FSV Mainz 05" "Linke Außenbahn" 30 2257 32 76
Joelinton "TSG 1899 Hoffenheim" Stürmer 28 2268 24 57
"Javier Martínez" "FC Bayern München" "Defensives Mittelfeld" 21 1393 16 38
"Enrico Valentini" "1. FC Nürnberg" Rechtsverteidiger 15 1373 26 62
"Willi Orban" "RB Leipzig" Innenverteidiger 24 2167 26 62
"Danny da Costa" "Eintracht Frankfurt" Rechtsverteidiger 34 3253 36 86
"Stefan Bell" "1. FSV Mainz 05" Innenverteidiger 25 2396 20 48
"Michael Lang" "B. Mönchengladbach" Rechtsverteidiger 17 1319 10 24
"Niko Gießelmann" "Fortuna Düsseldorf" Linksverteidiger 30 2764 37 89
"Linton Maina" "Hannover 96" "Linke Außenbahn" 20 1460 17 41
"Waldemar Anton" "Hannover 96" Innenverteidiger 34 3278 31 75
"André Hahn" "FC Augsburg" "Rechte Außenbahn" 28 2207 38 92
"Kevin Volland" "Bayer 04 Leverkusen" Stürmer 34 2983 19 46
"Leonardo Bittencourt" "TSG 1899 Hoffenheim" "Linke Außenbahn" 21 1146 26 63
"Gonzalo Castro" "VfB Stuttgart" "Zentrales Mittelfeld" 25 1786 30 73
"Admir Mehmedi" "VfL Wolfsburg" Stürmer 26 1786 30 73
"Milot Rashica" "SV Werder Bremen" Stürmer 26 1631 16 39
"Julian Korb" "Hannover 96" Rechtsverteidiger 12 1070 18 44
"Jean-Philippe Mateta" "1. FSV Mainz 05" Stürmer 34 2617 9 22
"Filip Kostic" "Eintracht Frankfurt" "Linke Außenbahn" 34 3158 42 103
"Patrick Erras" "1. FC Nürnberg" "Defensives Mittelfeld" 19 1317 11 27
"Florian Grillitsch" "TSG 1899 Hoffenheim" "Zentrales Mittelfeld" 30 2571 48 118
"Pirmin Schwegler" "Hannover 96" "Defensives Mittelfeld" 27 2182 37 91
"Lars Stindl" "B. Mönchengladbach" Stürmer 21 1585 13 32
"Alessandro Schöpf" "FC Schalke 04" "Offensives Mittelfeld" 15 1093 17 42
"Mats Hummels" "FC Bayern München" Innenverteidiger 21 1873 17 42
"Jérôme Gondorf" "SC Freiburg" "Zentrales Mittelfeld" 25 1404 19 47
"Mario Götze" "Borussia Dortmund" "Offensives Mittelfeld" 26 1781 19 47
"Eduard Löwen" "1. FC Nürnberg" "Zentrales Mittelfeld" 22 1717 21 52
"Kaan Ayhan" "Fortuna Düsseldorf" Innenverteidiger 28 2603 31 77
"Kevin Kampl" "RB Leipzig" "Zentrales Mittelfeld" 27 2212 24 60
"Matthias Ostrzolek" "Hannover 96" Linksverteidiger 18 1581 18 45
"Marc-Oliver Kempf" "VfB Stuttgart" Innenverteidiger 23 2148 18 45
"Philipp Bargfrede" "SV Werder Bremen" "Defensives Mittelfeld" 15 1128 16 40
"David Abraham" "Eintracht Frankfurt" Innenverteidiger 17 1510 14 35
"Timo Werner" "RB Leipzig" Stürmer 30 2605 12 30
"Jean Zimmer" "Fortuna Düsseldorf" Rechtsverteidiger 18 1505 10 25
"Ishak Belfodil" "TSG 1899 Hoffenheim" Stürmer 28 1982 10 25
"Franck Ribéry" "FC Bayern München" "Linke Außenbahn" 25 1308 8 20
"Jean-Philippe Gbamin" "1. FSV Mainz 05" "Defensives Mittelfeld" 31 2840 33 83
"Julian Weigl" "Borussia Dortmund" "Defensives Mittelfeld" 18 1567 19 48
"Niklas Stark" "Hertha BSC" Innenverteidiger 22 1996 19 48
"Per Skjelbred" "Hertha BSC" "Defensives Mittelfeld" 16 1059 17 43
"Thorgan Hazard" "B. Mönchengladbach" "Rechte Außenbahn" 33 3035 32 81
"Jonathan Schmid" "FC Augsburg" "Rechte Außenbahn" 28 2687 22 56
"Dennis Aogo" "VfB Stuttgart" Linksverteidiger 15 1069 9 23
"Dominique Heintz" "SC Freiburg" Innenverteidiger 34 3266 23 59
"Julian Baumgartlinger" "Bayer 04 Leverkusen" "Defensives Mittelfeld" 21 1667 30 77
"Daniel Baier" "FC Augsburg" "Defensives Mittelfeld" 33 2980 40 103
"Suat Serdar" "FC Schalke 04" "Zentrales Mittelfeld" 26 1831 34 88
"Wout Weghorst" "VfL Wolfsburg" Stürmer 34 3098 22 57
"Marcel Sabitzer" "RB Leipzig" "Rechte Außenbahn" 30 2492 28 73
"Daniel Brosinski" "1. FSV Mainz 05" Rechtsverteidiger 26 2343 16 42
"Hanno Behrens" "1. FC Nürnberg" "Zentrales Mittelfeld" 30 2795 27 71
"Leon Bailey" "Bayer 04 Leverkusen" "Linke Außenbahn" 29 2018 11 29
"Kerem Demirbay" "TSG 1899 Hoffenheim" "Zentrales Mittelfeld" 26 2132 36 95
"Andreas Beck" "VfB Stuttgart" Rechtsverteidiger 24 1872 20 53
"Niklas Moisander" "SV Werder Bremen" Innenverteidiger 30 2835 23 61
"Nico Schulz" "TSG 1899 Hoffenheim" Linksverteidiger 30 2711 20 54
"Andre Hoffmann" "Fortuna Düsseldorf" Innenverteidiger 13 1131 14 38
"Nabil Bentaleb" "FC Schalke 04" "Defensives Mittelfeld" 25 1935 18 49
"Mario Gomez" "VfB Stuttgart" Stürmer 31 2344 11 30
"Miiko Albornoz" "Hannover 96" Linksverteidiger 22 1779 26 71
"Josuha Guilavogui" "VfL Wolfsburg" "Defensives Mittelfeld" 19 1666 15 41
"Nico Elvedi" "B. Mönchengladbach" Innenverteidiger 30 2776 19 52
"Oliver Fink" "Fortuna Düsseldorf" "Zentrales Mittelfeld" 18 1118 23 63
"Joshua Kimmich" "FC Bayern München" Rechtsverteidiger 34 3247 27 74
"Ridle Baku" "1. FSV Mainz 05" "Zentrales Mittelfeld" 15 997 8 22
"Achraf Hakimi" "Borussia Dortmund" Rechtsverteidiger 21 1871 19 53
"Daniel Caligiuri" "FC Schalke 04" Rechtsverteidiger 31 2948 55 154
"Fabian Johnson" "B. Mönchengladbach" "Linke Außenbahn" 18 1082 5 14
"Mijat Gacinovic" "Eintracht Frankfurt" "Offensives Mittelfeld" 29 1760 21 59
"Denis Zakaria" "B. Mönchengladbach" "Defensives Mittelfeld" 31 2088 21 59
"Kevin Vogt" "TSG 1899 Hoffenheim" Innenverteidiger 28 2540 16 45
"Sebastian Rudy" "FC Schalke 04" "Defensives Mittelfeld" 21 1455 27 76
"Nuri Sahin" "SV Werder Bremen" "Defensives Mittelfeld" 20 1545 33 93
"Ondrej Duda" "Hertha BSC" "Offensives Mittelfeld" 32 2687 33 93
"Alfredo Morales" "Fortuna Düsseldorf" "Zentrales Mittelfeld" 23 1653 18 51
"Gian-Luca Waldschmidt" "SC Freiburg" Stürmer 30 1830 13 37
"Marco Richter" "FC Augsburg" Stürmer 25 1510 8 23
"Tobias Strobl" "B. Mönchengladbach" "Defensives Mittelfeld" 29 2431 17 49
"Johannes Eggestein" "SV Werder Bremen" Stürmer 23 1194 9 26
"Federico Palacios" "1. FC Nürnberg" Stürmer 17 1022 10 29
"Leon Goretzka" "FC Bayern München" "Zentrales Mittelfeld" 30 2158 22 64
"Alexander Esswein" "VfB Stuttgart" "Rechte Außenbahn" 17 1303 11 32
"Robin Koch" "SC Freiburg" Innenverteidiger 24 2048 14 41
"John Anthony Brooks" "VfL Wolfsburg" Innenverteidiger 29 2798 15 44
"Kevin Stöger" "Fortuna Düsseldorf" "Offensives Mittelfeld" 25 2255 34 100
"Vincenzo Grifo" "SC Freiburg" "Linke Außenbahn" 23 1868 17 50
"Kai Havertz" "Bayer 04 Leverkusen" "Offensives Mittelfeld" 34 3075 17 50
"Maximilian Arnold" "VfL Wolfsburg" "Zentrales Mittelfeld" 33 3047 29 86
"Christoph Kramer" "B. Mönchengladbach" "Defensives Mittelfeld" 18 1207 22 66
"Florian Neuhaus" "B. Mönchengladbach" "Zentrales Mittelfeld" 32 2164 15 45
"Steven Zuber" "VfB Stuttgart" "Linke Außenbahn" 22 1706 12 36
"Raphaël Guerreiro" "Borussia Dortmund" Linksverteidiger 23 1633 12 36
"Jacob Bruun Larsen" "Borussia Dortmund" "Linke Außenbahn" 24 1350 8 24
"Lucas Alario" "Bayer 04 Leverkusen" Stürmer 27 1375 8 24
"Vedad Ibisevic" "Hertha BSC" Stürmer 28 1878 7 21
"Thomas Müller" "FC Bayern München" "Rechte Außenbahn" 32 2483 23 70
"Nicolas Höfler" "SC Freiburg" "Defensives Mittelfeld" 18 1719 22 67
"Alexander Hack" "1. FSV Mainz 05" Innenverteidiger 14 1084 12 37
"Kevin Möhwald" "SV Werder Bremen" "Zentrales Mittelfeld" 23 984 10 31
"Alassane Plea" "B. Mönchengladbach" Stürmer 34 2640 10 31
"Serge Gnabry" "FC Bayern München" "Linke Außenbahn" 30 1887 19 59
"Arne Maier" "Hertha BSC" "Defensives Mittelfeld" 24 2187 16 50
"Konrad Laimer" "RB Leipzig" "Zentrales Mittelfeld" 29 1972 39 123
"Hendrik Weydandt" "Hannover 96" Stürmer 28 1847 12 38
"Salomon Kalou" "Hertha BSC" "Linke Außenbahn" 30 2429 11 35
"Jonas Hofmann" "B. Mönchengladbach" "Zentrales Mittelfeld" 27 2019 20 64
"Charles Aránguiz" "Bayer 04 Leverkusen" "Zentrales Mittelfeld" 24 1994 29 93
"Sébastien Haller" "Eintracht Frankfurt" Stürmer 29 2353 11 36
"Emil Forsberg" "RB Leipzig" "Linke Außenbahn" 20 1305 7 23
"Daniel Ginczek" "VfL Wolfsburg" Stürmer 24 1373 7 23
"Virgil Misidjan" "1. FC Nürnberg" "Rechte Außenbahn" 23 1624 13 43
"Genki Haraguchi" "Hannover 96" "Linke Außenbahn" 28 2285 28 95
"Omar Mascarell" "FC Schalke 04" "Defensives Mittelfeld" 14 1073 10 34
"Yuya Osako" "SV Werder Bremen" Stürmer 21 1435 11 38
"Michael Gregoritsch" "FC Augsburg" "Offensives Mittelfeld" 32 2633 12 42
"Mark Uth" "FC Schalke 04" Stürmer 20 1507 11 39
"Julian Brandt" "Bayer 04 Leverkusen" "Linke Außenbahn" 33 2823 17 61
"Danny Latza" "1. FSV Mainz 05" "Defensives Mittelfeld" 24 1929 23 83
"Jadon Sancho" "Borussia Dortmund" "Linke Außenbahn" 34 2644 11 40
"Mikael Ishak" "1. FC Nürnberg" Stürmer 29 2030 6 22
"Nicolai Müller" "Hannover 96" "Rechte Außenbahn" 21 1185 11 41
"Amine Harit" "FC Schalke 04" "Offensives Mittelfeld" 18 1152 8 30
Walace "Hannover 96" "Defensives Mittelfeld" 26 2138 22 83
"Sebastian Kerk" "1. FC Nürnberg" "Linke Außenbahn" 21 1246 9 34
"Weston McKennie" "FC Schalke 04" "Zentrales Mittelfeld" 24 1872 14 53
"Yuya Kubo" "1. FC Nürnberg" Stürmer 22 1430 11 42
James "FC Bayern München" "Offensives Mittelfeld" 20 1200 7 27
"Ante Rebic" "Eintracht Frankfurt" Stürmer 28 2098 7 27
"Benito Raman" "Fortuna Düsseldorf" "Rechte Außenbahn" 30 1792 20 78
"Karim Bellarabi" "Bayer 04 Leverkusen" "Rechte Außenbahn" 19 1131 7 28
"Kingsley Coman" "FC Bayern München" "Linke Außenbahn" 21 1441 6 24
"Yussuf Poulsen" "RB Leipzig" Stürmer 31 2595 10 42
"Luka Jovic" "Eintracht Frankfurt" Stürmer 32 2382 5 21
"Josip Brekalo" "VfL Wolfsburg" "Linke Außenbahn" 25 1515 6 28
"Marvin Bakalorz" "Hannover 96" "Zentrales Mittelfeld" 25 1590 10 47
"Alfred Finnbogason" "FC Augsburg" Stürmer 18 1375 3 16
"Andrej Kramaric" "TSG 1899 Hoffenheim" Stürmer 30 2548 4 33
"Max Kruse" "SV Werder Bremen" Stürmer 32 3018 5 46
