Name Verein Position Einsatz SpielMinuten "Geklaerte Baelle"
"Adam Bodzek" "Fortuna Düsseldorf" "Defensives Mittelfeld" 21 1678 39
"Pierre Kunde" "1. FSV Mainz 05" "Zentrales Mittelfeld" 29 2028 47
"Pavel Kaderábek" "TSG 1899 Hoffenheim" Rechtsverteidiger 29 2689 62
"Weston McKennie" "FC Schalke 04" "Zentrales Mittelfeld" 24 1872 43
"Niko Gießelmann" "Fortuna Düsseldorf" Linksverteidiger 30 2764 62
"Ludwig Augustinsson" "SV Werder Bremen" Linksverteidiger 34 3237 72
"Nicolas Höfler" "SC Freiburg" "Defensives Mittelfeld" 18 1719 38
"Marvin Plattenhardt" "Hertha BSC" Linksverteidiger 22 2040 45
"Michael Gregoritsch" "FC Augsburg" "Offensives Mittelfeld" 32 2633 58
"Jonathan Schmid" "FC Augsburg" "Rechte Außenbahn" 28 2687 59
"Daniel Caligiuri" "FC Schalke 04" Rechtsverteidiger 31 2948 64
"Oscar Wendt" "B. Mönchengladbach" Linksverteidiger 32 2908 62
"Achraf Hakimi" "Borussia Dortmund" Rechtsverteidiger 21 1871 39
"Marcel Halstenberg" "RB Leipzig" Linksverteidiger 28 2556 53
"Emiliano Insúa" "VfB Stuttgart" Linksverteidiger 27 2219 45
"Florian Grillitsch" "TSG 1899 Hoffenheim" "Zentrales Mittelfeld" 30 2571 52
"Janik Haberer" "SC Freiburg" "Offensives Mittelfeld" 27 2497 49
"Maximilian Eggestein" "SV Werder Bremen" "Zentrales Mittelfeld" 34 3267 63
Aarón "1. FSV Mainz 05" Linksverteidiger 33 3069 58
"Daniel Brosinski" "1. FSV Mainz 05" Rechtsverteidiger 26 2343 44
"Valentino Lazaro" "Hertha BSC" "Rechte Außenbahn" 31 2918 54
"Christoph Kramer" "B. Mönchengladbach" "Defensives Mittelfeld" 18 1207 22
"Thomas Delaney" "Borussia Dortmund" "Zentrales Mittelfeld" 30 2427 43
"Alfredo Morales" "Fortuna Düsseldorf" "Zentrales Mittelfeld" 23 1653 29
"Miiko Albornoz" "Hannover 96" Linksverteidiger 22 1779 31
"Mitchell Weiser" "Bayer 04 Leverkusen" Rechtsverteidiger 30 2256 39
"Tim Leibold" "1. FC Nürnberg" Linksverteidiger 32 2934 50
"Oliver Fink" "Fortuna Düsseldorf" "Zentrales Mittelfeld" 18 1118 19
"Christian Gentner" "VfB Stuttgart" "Zentrales Mittelfeld" 29 2122 36
"Danny da Costa" "Eintracht Frankfurt" Rechtsverteidiger 34 3253 55
Walace "Hannover 96" "Defensives Mittelfeld" 26 2138 36
"Jean Zimmer" "Fortuna Düsseldorf" Rechtsverteidiger 18 1505 25
"Hanno Behrens" "1. FC Nürnberg" "Zentrales Mittelfeld" 30 2795 46
"Daniel Baier" "FC Augsburg" "Defensives Mittelfeld" 33 2980 48
