Name,Verein,Position,Einsatz,SpielMinuten,Fouls
Bobby Wood,Hannover 96,Stürmer,20,1273,18
Christian Gentner,VfB Stuttgart,Zentrales Mittelfeld,29,2122,30
Julian Korb,Hannover 96,Rechtsverteidiger,12,1070,15
Hanno Behrens,1. FC Nürnberg,Zentrales Mittelfeld,30,2795,39
Yuya Osako,SV Werder Bremen,Stürmer,21,1435,20
Marvin Bakalorz,Hannover 96,Zentrales Mittelfeld,25,1590,22
Alexander Esswein,VfB Stuttgart,Rechte Außenbahn,17,1303,18
Marco Reus,Borussia Dortmund,Offensives Mittelfeld,27,2463,34
Mario Gomez,VfB Stuttgart,Stürmer,31,2344,32
Pascal Stenzel,SC Freiburg,Rechtsverteidiger,21,1542,21
Kevin Kampl,RB Leipzig,Zentrales Mittelfeld,27,2212,30
Charles Aránguiz,Bayer 04 Leverkusen,Zentrales Mittelfeld,24,1994,27
Patrick Herrmann,B. Mönchengladbach,Rechte Außenbahn,24,1184,16
Dodi Lukebakio,Fortuna Düsseldorf,Rechte Außenbahn,31,2077,28
Kevin Volland,Bayer 04 Leverkusen,Stürmer,34,2983,40
Jean-Philippe Gbamin,1. FSV Mainz 05,Defensives Mittelfeld,31,2840,38
Robin Quaison,1. FSV Mainz 05,Stürmer,28,2323,31
Andre Hoffmann,Fortuna Düsseldorf,Innenverteidiger,13,1131,15
Serge Gnabry,FC Bayern München,Linke Außenbahn,30,1887,25
Franck Ribéry,FC Bayern München,Linke Außenbahn,25,1308,17
Leon Goretzka,FC Bayern München,Zentrales Mittelfeld,30,2158,28
Danny Latza,1. FSV Mainz 05,Defensives Mittelfeld,24,1929,25
William,VfL Wolfsburg,Rechtsverteidiger,31,2864,37
Steven Zuber,VfB Stuttgart,Linke Außenbahn,22,1706,22
Alassane Plea,B. Mönchengladbach,Stürmer,34,2640,34
Andreas Beck,VfB Stuttgart,Rechtsverteidiger,24,1872,24
Ludwig Augustinsson,SV Werder Bremen,Linksverteidiger,34,3237,41
Lukas Kübler,SC Freiburg,Rechtsverteidiger,16,1264,16
Pavel Kaderábek,TSG 1899 Hoffenheim,Rechtsverteidiger,29,2689,34
