Name Verein Position Einsatz SpielMinuten balleroberungen
"Elvis Rexhbecaj" "VfL Wolfsburg" "Defensives Mittelfeld" 24 1225 16
"Nicolas Höfler" "SC Freiburg" "Defensives Mittelfeld" 18 1719 22
Felipe "Hannover 96" Innenverteidiger 17 1173 15
"Mathew Leckie" "Hertha BSC" "Rechte Außenbahn" 18 1017 13
"Anastasios Donis" "VfB Stuttgart" Stürmer 24 1017 13
"Makoto Hasebe" "Eintracht Frankfurt" Innenverteidiger 28 2697 34
"Theodor Gebre Selassie" "SV Werder Bremen" Rechtsverteidiger 32 3018 38
"Tin Jedvaj" "Bayer 04 Leverkusen" Innenverteidiger 16 1208 15
"Ibrahima Konaté" "RB Leipzig" Innenverteidiger 28 2581 32
"Andre Hoffmann" "Fortuna Düsseldorf" Innenverteidiger 13 1131 14
"Ondrej Duda" "Hertha BSC" "Offensives Mittelfeld" 32 2687 33
"Genki Haraguchi" "Hannover 96" "Linke Außenbahn" 28 2285 28
"Eduard Löwen" "1. FC Nürnberg" "Zentrales Mittelfeld" 22 1717 21
"Julian Weigl" "Borussia Dortmund" "Defensives Mittelfeld" 18 1567 19
"Breel Embolo" "FC Schalke 04" Stürmer 20 1411 17
"Willi Orban" "RB Leipzig" Innenverteidiger 24 2167 26
"Mijat Gacinovic" "Eintracht Frankfurt" "Offensives Mittelfeld" 29 1760 21
"Danny Latza" "1. FSV Mainz 05" "Defensives Mittelfeld" 24 1929 23
"Kaan Ayhan" "Fortuna Düsseldorf" Innenverteidiger 28 2603 31
"Patrick Herrmann" "B. Mönchengladbach" "Rechte Außenbahn" 24 1184 14
"Lukas Mühl" "1. FC Nürnberg" Innenverteidiger 31 2972 35
"Sven Bender" "Bayer 04 Leverkusen" Innenverteidiger 27 2123 25
"Oscar Wendt" "B. Mönchengladbach" Linksverteidiger 32 2908 34
"Linton Maina" "Hannover 96" "Linke Außenbahn" 20 1460 17
"Jean-Philippe Gbamin" "1. FSV Mainz 05" "Defensives Mittelfeld" 31 2840 33
"Javier Martínez" "FC Bayern München" "Defensives Mittelfeld" 21 1393 16
"Milos Veljkovic" "SV Werder Bremen" Innenverteidiger 23 2010 23
"Matthias Ostrzolek" "Hannover 96" Linksverteidiger 18 1581 18
"Valentino Lazaro" "Hertha BSC" "Rechte Außenbahn" 31 2918 33
"Marcel Sabitzer" "RB Leipzig" "Rechte Außenbahn" 30 2492 28
"Benito Raman" "Fortuna Düsseldorf" "Rechte Außenbahn" 30 1792 20
"Jérôme Roussillon" "VfL Wolfsburg" Linksverteidiger 28 2617 29
"Alexander Hack" "1. FSV Mainz 05" Innenverteidiger 14 1084 12
"Danny da Costa" "Eintracht Frankfurt" Rechtsverteidiger 34 3253 36
"D. Upamecano" "RB Leipzig" Innenverteidiger 15 1369 15
"Alfredo Morales" "Fortuna Düsseldorf" "Zentrales Mittelfeld" 23 1653 18
"Georg Margreitter" "1. FC Nürnberg" Innenverteidiger 27 2206 24
"Evan N'Dicka" "Eintracht Frankfurt" Innenverteidiger 27 2483 27
"Mike Frantz" "SC Freiburg" "Zentrales Mittelfeld" 31 2302 25
"Kevin Kampl" "RB Leipzig" "Zentrales Mittelfeld" 27 2212 24
"Marvin Plattenhardt" "Hertha BSC" Linksverteidiger 22 2040 22
"Andreas Beck" "VfB Stuttgart" Rechtsverteidiger 24 1872 20
"Axel Witsel" "Borussia Dortmund" "Defensives Mittelfeld" 33 3093 33
"Mario Götze" "Borussia Dortmund" "Offensives Mittelfeld" 26 1781 19
Joelinton "TSG 1899 Hoffenheim" Stürmer 28 2268 24
