Name,Verein,Position,Einsatz,Alter,Vorlagen,Elfmetertor,Tore,Nationalitaet
Janik Haberer,SC Freiburg,Zentrales Mittelfeld,27.0,25,4,0.0,1.0,Deutschland
Weston McKennie,FC Schalke 04,Zentrales Mittelfeld,24.0,20,4,0.0,1.0,Vereinigte Staaten
Lars Bender,Bayer 04 Leverkusen,Defensives Mittelfeld,20.0,30,4,0.0,1.0,Deutschland
Matthias Zimmermann,Fortuna Düsseldorf,Rechter Verteidiger,34.0,26,3,0.0,1.0,Deutschland
Miiko Albornoz,Hannover 96,Linker Verteidiger,22.0,28,3,0.0,1.0,Chile & Schweden
Leonardo Bittencourt,TSG 1899 Hoffenheim,Offensives Mittelfeld,21.0,25,3,0.0,1.0,Deutschland & Brasilien
Linton Maina,Hannover 96,Rechtes Mittelfeld,20.0,19,3,0.0,1.0,Deutschland
Takashi Usami,Fortuna Düsseldorf,Linksaußen,19.0,27,3,0.0,1.0,Japan
Ermin Bicakcic,TSG 1899 Hoffenheim,Innenverteidiger,25.0,29,2,0.0,1.0,Bosnien-Herzegowina & Deutschland
Maximilian Mittelstädt,Hertha BSC,Linker Verteidiger,25.0,22,2,0.0,1.0,Deutschland
Virgil Misidjan,1.FC Nürnberg,Rechtsaußen,23.0,25,2,0.0,1.0,Niederlande & Suriname
Marvin Plattenhardt,Hertha BSC,Linker Verteidiger,22.0,27,2,0.0,1.0,Deutschland
Yunus Malli,VfL Wolfsburg,Offensives Mittelfeld,21.0,27,2,1.0,1.0,Türkei & Deutschland
Jean Zimmer,Fortuna Düsseldorf,Rechter Verteidiger,18.0,25,2,0.0,1.0,Deutschland
Amine Harit,FC Schalke 04,Offensives Mittelfeld,18.0,21,2,0.0,1.0,Marokko & Frankreich
Dominique Heintz,SC Freiburg,Innenverteidiger,34.0,25,1,0.0,1.0,Deutschland
Moussa Niakhaté,1.FSV Mainz 05,Innenverteidiger,33.0,23,1,0.0,1.0,Frankreich & Mali
Oscar Wendt,Borussia Mönchengladbach,Linker Verteidiger,32.0,33,1,0.0,1.0,Schweden
Konrad Laimer,RasenBallsport Leipzig,Zentrales Mittelfeld,29.0,21,1,0.0,1.0,Österreich
Ibrahima Konaté,RasenBallsport Leipzig,Innenverteidiger,28.0,19,1,0.0,1.0,Frankreich
Abdou Diallo,Borussia Dortmund,Innenverteidiger,28.0,23,1,0.0,1.0,Frankreich & Senegal
Evan N'Dicka,Eintracht Frankfurt,Innenverteidiger,27.0,19,1,0.0,1.0,Frankreich & Kamerun
Walace,Hannover 96,Defensives Mittelfeld,26.0,24,1,0.0,1.0,Brasilien
Marvin Bakalorz,Hannover 96,Zentrales Mittelfeld,25.0,29,1,0.0,1.0,Deutschland
Alfredo Morales,Fortuna Düsseldorf,Zentrales Mittelfeld,23.0,29,1,0.0,1.0,Vereinigte Staaten & Deutschland
Manuel Gulde,SC Freiburg,Innenverteidiger,21.0,28,1,0.0,1.0,Deutschland
Mats Hummels,FC Bayern München,Innenverteidiger,21.0,30,1,0.0,1.0,Deutschland
Nuri Sahin,SV Werder Bremen,Defensives Mittelfeld,20.0,30,1,0.0,1.0,Türkei & Deutschland
Nordi Mukiele,RasenBallsport Leipzig,Rechter Verteidiger,19.0,21,1,0.0,1.0,Frankreich & DR Kongo
Erik Thommy,VfB Stuttgart,Linkes Mittelfeld,19.0,24,1,0.0,1.0,Deutschland
Maximilian Philipp,Borussia Dortmund,Hängende Spitze,18.0,25,1,0.0,1.0,Deutschland
Kevin Danso,FC Augsburg,Innenverteidiger,18.0,20,1,0.0,1.0,Österreich
Fabian Johnson,Borussia Mönchengladbach,Linksaußen,18.0,31,1,0.0,1.0,Vereinigte Staaten & Deutschland
Renato Sanches,FC Bayern München,Zentrales Mittelfeld,17.0,21,1,0.0,1.0,Portugal & Sao Tome und Principe
Marvin Ducksch,Fortuna Düsseldorf,Mittelstürmer,16.0,25,1,0.0,1.0,Deutschland
Törles Knöll,1.FC Nürnberg,Mittelstürmer,16.0,21,1,0.0,1.0,Deutschland
Rafinha,FC Bayern München,Rechter Verteidiger,16.0,33,1,0.0,1.0,Brasilien & Deutschland
Alessandro Schöpf,FC Schalke 04,Rechtes Mittelfeld,15.0,24,1,0.0,1.0,Österreich
Felix Klaus,VfL Wolfsburg,Rechtsaußen,14.0,26,1,0.0,1.0,Deutschland
Bruma,RasenBallsport Leipzig,Linksaußen,14.0,24,1,0.0,1.0,Portugal & Guinea-Bissau
Alexander Hack,1.FSV Mainz 05,Innenverteidiger,14.0,25,1,0.0,1.0,Deutschland
Caiuby,FC Augsburg,Linksaußen,14.0,30,1,0.0,1.0,Brasilien
Yevhen Konoplianka,FC Schalke 04,Linksaußen,13.0,29,1,0.0,1.0,Ukraine
Markus Suttner,Fortuna Düsseldorf,Linker Verteidiger,6.0,32,1,0.0,1.0,Österreich
Waldemar Anton,Hannover 96,Innenverteidiger,34.0,22,0,0.0,1.0,Deutschland & Usbekistan
Lukas Mühl,1.FC Nürnberg,Innenverteidiger,31.0,22,0,0.0,1.0,Deutschland
Gelson Fernandes,Eintracht Frankfurt,Defensives Mittelfeld,28.0,32,0,0.0,1.0,Schweiz & Kap Verde
Matija Nastasic,FC Schalke 04,Innenverteidiger,28.0,26,0,0.0,1.0,Serbien
Manuel Akanji,Borussia Dortmund,Innenverteidiger,25.0,23,0,0.0,1.0,Schweiz & Nigeria
Robin Koch,SC Freiburg,Innenverteidiger,24.0,22,0,0.0,1.0,Deutschland
Milos Veljkovic,SV Werder Bremen,Innenverteidiger,23.0,23,0,0.0,1.0,Serbien & Schweiz
Yuya Kubo,1.FC Nürnberg,Mittelstürmer,22.0,25,0,0.0,1.0,Japan
Niklas Stark,Hertha BSC,Innenverteidiger,22.0,24,0,0.0,1.0,Deutschland
Alexandru Maxim,1.FSV Mainz 05,Offensives Mittelfeld,22.0,28,0,0.0,1.0,Rumänien
Julian Weigl,Borussia Dortmund,Defensives Mittelfeld,18.0,23,0,0.0,1.0,Deutschland
Timo Baumgartl,VfB Stuttgart,Innenverteidiger,18.0,23,0,0.0,1.0,Deutschland
Michael Lang,Borussia Mönchengladbach,Rechter Verteidiger,17.0,28,0,0.0,1.0,Schweiz
Marius Wolf,Borussia Dortmund,Rechtsaußen,16.0,23,0,0.0,1.0,Deutschland
Mahmoud Dahoud,Borussia Dortmund,Zentrales Mittelfeld,14.0,23,0,0.0,1.0,Deutschland & Syrien
Marco Terrazzino,SC Freiburg,Linksaußen,13.0,28,0,0.0,1.0,Deutschland & Italien
Marcel Tisserand,VfL Wolfsburg,Innenverteidiger,10.0,26,0,0.0,1.0,DR Kongo & Frankreich
Amadou Haidara,RasenBallsport Leipzig,Zentrales Mittelfeld,9.0,21,0,0.0,1.0,Mali
Julian Schieber,FC Augsburg,Mittelstürmer,9.0,30,0,0.0,1.0,Deutschland
Alexander Fuchs,1.FC Nürnberg,Zentrales Mittelfeld,9.0,22,0,0.0,1.0,Deutschland
Haji Wright,FC Schalke 04,Mittelstürmer,7.0,20,0,0.0,1.0,Vereinigte Staaten
Felix Götze,FC Augsburg,Defensives Mittelfeld,6.0,21,0,0.0,1.0,Deutschland
Alphonso Davies,FC Bayern München,Linksaußen,6.0,18,0,0.0,1.0,Kanada & Liberia
Corentin Tolisso,FC Bayern München,Zentrales Mittelfeld,2.0,24,0,0.0,1.0,Frankreich & Togo
