Name,Verein,Position,Einsatz,SpielMinuten,AbgefangeneBaelle,AbgewehrteElfmeter,GesamteElfmeter
Ibrahima Konaté,RB Leipzig,Innenverteidiger,28.0,2581.0,58.0,,
Lukasz Piszczek,Borussia Dortmund,Rechtsverteidiger,20.0,1876.0,42.0,,
Matthias Zimmermann,Fortuna Düsseldorf,Rechtsverteidiger,34.0,3243.0,71.0,,
Marc-Oliver Kempf,VfB Stuttgart,Innenverteidiger,23.0,2148.0,47.0,,
Walace,Hannover 96,Defensives Mittelfeld,26.0,2138.0,46.0,,
Omar Mascarell,FC Schalke 04,Defensives Mittelfeld,14.0,1073.0,23.0,,
Gelson Fernandes,Eintracht Frankfurt,Defensives Mittelfeld,28.0,2348.0,50.0,,
Waldemar Anton,Hannover 96,Innenverteidiger,34.0,3278.0,69.0,,
Javier Martínez,FC Bayern München,Defensives Mittelfeld,21.0,1393.0,29.0,,
Julian Korb,Hannover 96,Rechtsverteidiger,12.0,1070.0,22.0,,
Daniel Baier,FC Augsburg,Defensives Mittelfeld,33.0,2980.0,61.0,,
Mats Hummels,FC Bayern München,Innenverteidiger,21.0,1873.0,36.0,,
Per Skjelbred,Hertha BSC,Defensives Mittelfeld,16.0,1059.0,20.0,,
Benjamin Pavard,VfB Stuttgart,Innenverteidiger,29.0,2759.0,52.0,,
Stefan Ilsanker,RB Leipzig,Defensives Mittelfeld,19.0,1010.0,19.0,,
Weston McKennie,FC Schalke 04,Zentrales Mittelfeld,24.0,1872.0,35.0,,
Nordi Mukiele,RB Leipzig,Rechtsverteidiger,19.0,1300.0,24.0,,
Dan-Axel Zagadou,Borussia Dortmund,Innenverteidiger,17.0,1361.0,25.0,,
Pirmin Schwegler,Hannover 96,Defensives Mittelfeld,27.0,2182.0,40.0,,
Tin Jedvaj,Bayer 04 Leverkusen,Innenverteidiger,16.0,1208.0,22.0,,
Nabil Bentaleb,FC Schalke 04,Defensives Mittelfeld,25.0,1935.0,35.0,,
Aleksandar Dragovic,Bayer 04 Leverkusen,Innenverteidiger,18.0,1443.0,26.0,,
Lukas Mühl,1. FC Nürnberg,Innenverteidiger,31.0,2972.0,53.0,,
Andre Hoffmann,Fortuna Düsseldorf,Innenverteidiger,13.0,1131.0,20.0,,
Nico Elvedi,B. Mönchengladbach,Innenverteidiger,30.0,2776.0,49.0,,
Niklas Stark,Hertha BSC,Innenverteidiger,22.0,1996.0,35.0,,
Pascal Stenzel,SC Freiburg,Rechtsverteidiger,21.0,1542.0,27.0,,
Santiago Ascacibar,VfB Stuttgart,Defensives Mittelfeld,27.0,2574.0,45.0,,
Patrick Erras,1. FC Nürnberg,Defensives Mittelfeld,19.0,1317.0,23.0,,
Nicolas Höfler,SC Freiburg,Defensives Mittelfeld,18.0,1719.0,30.0,,
Thiago,FC Bayern München,Zentrales Mittelfeld,30.0,2544.0,44.0,,
Kevin Möhwald,SV Werder Bremen,Zentrales Mittelfeld,23.0,984.0,17.0,,
Ewerton,1. FC Nürnberg,Innenverteidiger,18.0,1449.0,25.0,,
David Abraham,Eintracht Frankfurt,Innenverteidiger,17.0,1510.0,26.0,,
Willi Orban,RB Leipzig,Innenverteidiger,24.0,2167.0,37.0,,
Marvin Bakalorz,Hannover 96,Zentrales Mittelfeld,25.0,1590.0,27.0,,
Benjamin Stambouli,FC Schalke 04,Innenverteidiger,21.0,1902.0,32.0,,
Gonzalo Castro,VfB Stuttgart,Zentrales Mittelfeld,25.0,1786.0,30.0,,
Christoph Kramer,B. Mönchengladbach,Defensives Mittelfeld,18.0,1207.0,20.0,,
Daniel Caligiuri,FC Schalke 04,Rechtsverteidiger,31.0,2948.0,48.0,,
Marcin Kaminski,Fortuna Düsseldorf,Innenverteidiger,27.0,2581.0,42.0,,
Davy Klaassen,SV Werder Bremen,Zentrales Mittelfeld,33.0,2985.0,48.0,,
Ozan Kabak,VfB Stuttgart,Innenverteidiger,15.0,1431.0,23.0,,
Robert Bauer,1. FC Nürnberg,Rechtsverteidiger,22.0,1816.0,29.0,,
Dominik Kohr,Bayer 04 Leverkusen,Zentrales Mittelfeld,18.0,1065.0,17.0,,
Karim Rekik,Hertha BSC,Innenverteidiger,24.0,2198.0,35.0,,
Milos Veljkovic,SV Werder Bremen,Innenverteidiger,23.0,2010.0,32.0,,
Matthias Ostrzolek,Hannover 96,Linksverteidiger,18.0,1581.0,25.0,,
Timo Baumgartl,VfB Stuttgart,Innenverteidiger,18.0,1709.0,27.0,,
Konrad Laimer,RB Leipzig,Zentrales Mittelfeld,29.0,1972.0,31.0,,
Jean-Paul Boëtius,1. FSV Mainz 05,Linke Außenbahn,30.0,2257.0,35.0,,
Adam Bodzek,Fortuna Düsseldorf,Defensives Mittelfeld,21.0,1678.0,26.0,,
Moussa Niakhaté,1. FSV Mainz 05,Innenverteidiger,33.0,2975.0,46.0,,
Lars Bender,Bayer 04 Leverkusen,Rechtsverteidiger,20.0,1428.0,22.0,,
Jonathan Schmid,FC Augsburg,Rechte Außenbahn,28.0,2687.0,41.0,,
Marko Grujic,Hertha BSC,Zentrales Mittelfeld,22.0,1907.0,29.0,,
