Name,Verein,Position,Einsatz,SpielMinuten,GrosschancenKreiert
Achraf Hakimi,Borussia Dortmund,Rechtsverteidiger,21.0,1871.0,4.0
Charles Aránguiz,Bayer 04 Leverkusen,Zentrales Mittelfeld,24.0,1994.0,4.0
Jonas Hofmann,B. Mönchengladbach,Zentrales Mittelfeld,27.0,2019.0,4.0
Dodi Lukebakio,Fortuna Düsseldorf,Rechte Außenbahn,31.0,2077.0,4.0
Christian Gentner,VfB Stuttgart,Zentrales Mittelfeld,29.0,2122.0,4.0
Mitchell Weiser,Bayer 04 Leverkusen,Rechtsverteidiger,30.0,2256.0,4.0
Genki Haraguchi,Hannover 96,Linke Außenbahn,28.0,2285.0,4.0
Mario Gomez,VfB Stuttgart,Stürmer,31.0,2344.0,4.0
Tobias Strobl,B. Mönchengladbach,Defensives Mittelfeld,29.0,2431.0,4.0
Janik Haberer,SC Freiburg,Offensives Mittelfeld,27.0,2497.0,4.0
Florian Grillitsch,TSG 1899 Hoffenheim,Zentrales Mittelfeld,30.0,2571.0,4.0
Jérôme Roussillon,VfL Wolfsburg,Linksverteidiger,28.0,2617.0,4.0
Jean-Philippe Mateta,1. FSV Mainz 05,Stürmer,34.0,2617.0,4.0
Kai Havertz,Bayer 04 Leverkusen,Offensives Mittelfeld,34.0,3075.0,4.0
Kenan Karaman,Fortuna Düsseldorf,Linke Außenbahn,21.0,1007.0,3.0
Christian Pulisic,Borussia Dortmund,Rechte Außenbahn,20.0,1030.0,3.0
Johannes Eggestein,SV Werder Bremen,Stürmer,23.0,1194.0,3.0
Sebastian Kerk,1. FC Nürnberg,Linke Außenbahn,21.0,1246.0,3.0
Lukas Kübler,SC Freiburg,Rechtsverteidiger,16.0,1264.0,3.0
Nordi Mukiele,RB Leipzig,Rechtsverteidiger,19.0,1300.0,3.0
Franck Ribéry,FC Bayern München,Linke Außenbahn,25.0,1308.0,3.0
Daniel Ginczek,VfL Wolfsburg,Stürmer,24.0,1373.0,3.0
Alfred Finnbogason,FC Augsburg,Stürmer,18.0,1375.0,3.0
Yuya Osako,SV Werder Bremen,Stürmer,21.0,1435.0,3.0
Jean Zimmer,Fortuna Düsseldorf,Rechtsverteidiger,18.0,1505.0,3.0
Pascal Stenzel,SC Freiburg,Rechtsverteidiger,21.0,1542.0,3.0
Renato Steffen,VfL Wolfsburg,Rechte Außenbahn,31.0,1592.0,3.0
Steven Zuber,VfB Stuttgart,Linke Außenbahn,22.0,1706.0,3.0
Mijat Gacinovic,Eintracht Frankfurt,Offensives Mittelfeld,29.0,1760.0,3.0
Miiko Albornoz,Hannover 96,Linksverteidiger,22.0,1779.0,3.0
Gonzalo Castro,VfB Stuttgart,Zentrales Mittelfeld,25.0,1786.0,3.0
Andreas Beck,VfB Stuttgart,Rechtsverteidiger,24.0,1872.0,3.0
Weston McKennie,FC Schalke 04,Zentrales Mittelfeld,24.0,1872.0,3.0
Lukasz Piszczek,Borussia Dortmund,Rechtsverteidiger,20.0,1876.0,3.0
Marvin Plattenhardt,Hertha BSC,Linksverteidiger,22.0,2040.0,3.0
Diego Demme,RB Leipzig,Defensives Mittelfeld,26.0,2155.0,3.0
André Hahn,FC Augsburg,Rechte Außenbahn,28.0,2207.0,3.0
Mike Frantz,SC Freiburg,Zentrales Mittelfeld,31.0,2302.0,3.0
